Model Name,Dataset,Language,Source Sentence,Translation,Reference Sentence
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,So the challenges in this are already showing themselves. I'm likely going to have a VERY difficult time getting a medical clearance due to the FAA's stance on certain medications.,Så utmaningarna i detta visar sig allerede. Jag kommer sannolikt att ha en mycket svår tid att få en medicinsk clearance på grund av FAA: s inställning till vissa mediciner.,Utfordringene med dette viser seg allerede. Det vil med stor sannsynlighet bli VELDIG vanskelig for meg å få en medisinsk tillatelse på grunn av FAAs holdninger til visse medisiner.
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,And just under the wire basically someone actually beat Trimming the Herbs! Really impressive.,Och precis under ledningen i princip någon faktiskt slå Trimming the Herbs! Verkligen imponerande.,Og i siste sekund var det noen som faktisk klarte Trimming the Herbs! Utrolig imponerende.
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,Yea so I flew this today.,Yea så jeg fløj denne i dag.,"Ja, så jeg fløy denne i dag."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,"So my dad can't give me rides to work. And for me, work is about 27 miles away. So there and back would be nearly a $100 a day with Uber. I haven't looked at Lyft. I could have, I guess, that makes sense. But I didn't have rental on my auto insurance, so that's my fault. So I guess I could have tried to do that and get that set up and tried to get a rental while I was down and out of a car. But even then, a rental wouldn't cover seven days. I'm going to sneeze, hold on. That sneeze sucked.","Så min pappa kan inte ge mig rider till jobbet. Och för mig, arbete är ca 27 miles away. Så det och tillbaka skulle vara nästan en $ 100 om dagen med Uber sn. Jag har inte tittat på Lyft. Jag antar, det er logiskt. Men jeg har inte hyra på min bil forsikring, så det er min skyld. Så jeg antar at jeg kunne ha försökt att göra det og få det satt upp och försökte få en bil ut.","Så faren min kan ikke kjøre meg til jobb. For meg er jobben ca. 27 miles unna. Så turen dit og tilbake ville nesten blitt 100 USD om dagen med Uber. Jeg har ikke sjekket Lyft. Jeg kunne vel ha gjort det. Det gir mening. Men jeg hadde ikke utleie på bilforsikringen min, så det er min feil. Jeg antar at jeg kunne ha prøvd å gjøre det og fått det på plass og prøvd å få meg en leiebil mens jeg var deppa og uten bil. Men selv da ville ikke en leiebil ha dekket syv dager. Jeg må nyse, vent litt. Det var en elendig nys."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,Saturday Cont:,Lørdag Cont:,Lørdagskonkurranse:
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,"Rosendale, a member of the hard-right Freedom Caucus, was one of the individuals who derailed the Wednesday votes. He views the top line number in Johnson's deal as being too high and as doing too little to cut the $34 trillion national debt.","Rosendale, medlem av den hard-right Freedom Caucus, var en av de personer som spårade onsdagsrösterna. Han ser topplinjen i Johnsons affär som för hög och som gör for lite för att minska den $ 34 biljoner statsskulden.","Rosendale, medlem av Freedom Caucus ytterst på høyrefløyen, var en av personene som sporet av under onsdagens stemming. Han anser topplinjetallet i Johnsons tilbud for å være for høyt, samt at det bidrar for lite til å kutte den nasjonale gjelden på 34 billioner amerikanske dollar."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,"South Wales four-piece The Now are proud to release their debut album, Too Hot To Handle, via True Music, and Callum joins me now. How are you doing, Callum? How's it going? Yeah, all good. Good, yourself? Yes, I'm very good. Thank you. It's a privilege to speak to yourselves because I've been listening to your music quite a lot since 2023. So I'm just loving the music, and I think it's something that we definitely need in the charts these days.","South Wales fire-piece The Now er stolte over at frigive deres debutalbum, Too Hot To Handle, via True Music, og Callum slutter sig til mig nu. Hvordan har du det, Callum? Hvordan går det? Ja, alt bra. Bra, selv? Ja, jeg er veldig bra. Tak. Det er et privilegium å snakke med dere fordi jeg har lyttet til din musik en hel del siden 2023. Så jeg tror bare at vi elsker det charts i musikken.","Firemannsbandet The Now  fra Sør-Wales er stolte over å lansere debutalbumet sitt, Too Hot To Handle, via True Music, og Callum er med meg her. Hvordan går det, Callum? Alt bra? Ja, alt bra. Hva med deg? Jo, jeg har det veldig bra. Takk. Det er et privilegium å snakke med dere, siden jeg har hørt mye på musikken deres siden 2023. Jeg elsker musikken, og jeg tror det er noe vi definitivt trenger på listene i disse dager."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,no,"The results are in and, drum roll, please, it's completely consistent with my family history. 89.9% British and Irish with most of that concentrated in the scottish borders, western Ireland, Wales, and cornwall. It doesn't show much breton tho so either they're so close to cornish they don't show as different in me or my breton family wasn't originally from there.","Resultaterne er i og, trumvirvel, vær så snill, det er helt i overensstemmelse med min familiehistorie. 89,9% britisk og irsk med det meste av det koncentreret i de skotske grensene, västra Irland, Wales, och cornwall. Det viser ikke mycket breton tho så antingen de är så nära cornish de ikke viser så olika i mig eller min breton familie var ikke opprinnelig derfra.","Resultatene er her og, trommevirvel takk, det er helt i samsvar med familiehistorien min. 89,9 % britisk og irsk med mesteparten konsentrert på skotskegrensen, Vest-Irland, Wales og Cornwall. Det viser ikke mye bretagnsk dog, så enten er de så nær Cornwall at de ikke vises som forskjellig hos meg, eller så var ikke min bretagnske familie opprinnelig derfra."
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,"Secondly, synesthesia is about — and this is what gets me to my point about the main theme of this lecture, which is about creativity — synesthesia is eight times more common among artists, poets, novelists and other creative people than in the general population.","For det andra, synestesi handlar om och det er det som får mig till min punkt om huvudtemaet i denna forelesning, som handlar om kreativitet synestesi er åtte ganger vanligare bland artister, poeter, romanförfattare og andre kreative mennesker än i den generelle befolkningen.","For det andre er synestesi omtrent — og dette bringer meg til poenget til hovedtemaet i denne forelesningen, som handler om kreativitet — synestesi er åtte ganger vanligere blant kunstere, poeter, forfattere og andre kreative mennesker enn i resten av befolkningen."
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,"C sharp is blue, F sharp is green, another tone might be yellow, right?","C sharp er blå, F sharp er grønn, en annan tone kan være gul, ikke?","Ciss er blå, fiss er grønn, en annen tone kan være gul, sant?"
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,"You can still recognize them from their voice and say, """" Oh yeah, that's Joe, """" but you can't look at their face and know who it is, right?","Du kan fortfarande känna igen dem fra deres stemme og si, """"Åh ja, det är Joe, """" men du kan ikke se på ansiktet og vet hvem det er, ikke sant?","Man kan fremdeles kjenne igjen folk på stemmen og si, åja, det der er Joe, men man kan ikke se på ansiktet deres og vite hvem det er, sant?"
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,Thank you.,Tack så mycket.,Takk.
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,We would never do it.,Vi skulle aldrig göra det.,Vi ville aldri gjort det.
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,"If you had gotten five, this dinner would have been a lot more interesting. """" (Laughter) There is now a kind of sleep deprivation one-upmanship.","Om du hade fått fem, ville den här middagen ha varit mycket mer intressant. """" (Latter) Det finns nu en slags søvnberøvelse one-upmanship.","Hvis du hadde fått fem, hadde denne middagen vært mye mer interessant. """" (Latter) Det finnes en ny form for søvnmangel der ute rivaliseringskultur."
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,"And I know many people who are at the bottoms of organizations who have no authority and they are absolutely leaders, and this is because they have chosen to look after the person to the left of them, and they have chosen to look after the person to the right of them.","Och jag känner många människor som är på botten av organisationer som har ingen myndighet, och de är absolut ledare, och det beror på att de har valt att ta hand om personen till vänster om dem, och de har valt att ta hand om personen till höger om dem.","Og jeg kjenner mange mennesker nederst i organisasjonen som ikke har autoritet, men de er helt klart ledere, fordi de har valgt å se etter personen til venstre for dem, og de har valgt å se etter personen til høyre for dem."
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,"These are very compelling, vivid sensations.","Disse er meget overbevisende, levende fornemmelser.",Disse fornemmelsene er svært overbevisende og levende.
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,Thank you.,Tack så mycket.,Takk.
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,Why would that be?,Hvorfor skulle det være det?,Hvorfor er det slik?
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,"And this peculiar recursive quality that we call self-awareness, which I think is the holy grail of neuroscience, of neurology, and hopefully, someday, we'll understand how that happens.","Och den besynnerliga rekursive egenskapen som vi kallar självmedvetenhet, som jag tror er den heliga gralen av neurovetenskap, av neurologi, och förhoppningsvis, en dag, kommer vi att förstå hur det händer.","Denne særegne, rekursive egenskapen som vi kaller selvbevissthet, noe jeg mener er den Hellige Gral for nevrovitenskap, for nevrologi, og forhåpentligvis vil vi en vakker dag kunne forstå hvordan det skjer."
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,The budget is not always there.,Budgetet er ikke alltid der.,Busjettet er ikke alltid der.
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,"I mean, schizophrenics do that, but it's a different story, right?","- Jeg mener, schizofrener gjør det, men det er en annen historie, ikke sant?","Jeg mener, schizofrene gjør det, men det er noe annet, sant?"
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,"I heard a story of some Marines who were out in theater, and as is the Marine custom, the officer ate last, and he let his men eat first, and when they were done, there was no food left for him.","Jag hörde en historia om några marinsoldater som var ute på teater, och som det är marinens sed, åt officeren sist, och han lät sina män äta först, och när de var klara, var det ingen mat kvar för honom.","Jeg hørte en historie om noen marinesoldater som var ute i feltet, og slik som det er i marinen, spiste offiseren sist, han lot sine menn spise først, og når de var ferdige, var det ikke noe mat igjen for ham."
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,"We are also influenced by our nonverbals, our thoughts and our feelings and our physiology.","Vi påverkas også av våre nonverbals, våra tanker og våre følelser og vår fysiologi.","Vi er også påvirket av våre egne ikke-verbale tegn, våre tanker, følelser og fysiologi."
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,"If it's between tone and color, you get tone-color synesthesia.","Om det ligger mellan tonen og färgen, får du tone-farge synestesi.","Hvis det er mellom tone og farge, så får du tone-farge-synestesi."
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,Eventually I graduated from college.,Till slut tog jag examen från college.,Til slutt ble jeg uteksaminert fra høyskolen.
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,"Why is it that Mayank, this young boy that I met in India, isn't washing his hands?","Hvorfor vasker Mayank, den här unge pojken som jeg träffade i Indien, ikke händerna?","Hvorfor var det slik at Mayank, denne unge gutten som jeg møtte i India, ikke vasket hendene sine?"
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,And here every piece is very well planned.,Og her er hvert eneste stykke mycket väl planlagt.,Og her er hver brikke godt planlagt.
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,no,We don't want to prime them with a concept of power.,Vi vill inte prime dem med ett maktbegrepp.,Vi vil ikke vise dem konseptet av makt.
