Dataset,Language,Source Sentence,Translation,Reference Sentence
WMT,bg,"Isn’t that funny? We have half the manpower left, and we can’t even refrain from hurting one another. I hastily sped up, Al’s was around the corner, so I would be fine inside. A glance behind me ensured that I was no longer being tailed as I stood in front of a bright glowing sign that read, “Alborn’s Pawnshop!” With slower steps, I entered once again–this place was more under the cover, as Alborn would often take in people who’d been mutated and snuck into Paltricus. Upon opening the door, the lights had been shut off, interestingly enough–there was no Al. No refugees. Nothing. Something wasn’t right here.","Не е ли смешно? Останала ни е половината работна сила, а не можем дори да се въздържим да се нараняваме. Припряно ускорих крачка, заведението на Ал беше зад ъгъла, така че щях да съм в безопасност вътре. Поглед назад ме увери, че никой не ме следи, докато стоях пред ярко светеща табела с надпис „Заложна къща на Алборн!“. С по-бавни стъпки влязох отново – това място беше по-скрито, тъй като Алборн често приемаше хора, които бяха мутирали и се бяха промъкнали в Палтрикус. Когато отворих вратата, светлините бяха изгасени, колко интересно – нямаше го Ал. Нямаше бежанци. Нищо. Нещо не беше наред тук.","Не е ли забавно? Намаляхме наполовина и дори не можем да спрем да се нараняваме сами. Забързах се, Aл беше зад ъгъла и щях да съм на сигурно място вътре. Погледнах зад мен да се уверя, че не ме следят, докато стоях пред светла табела „Заложната къща на Алборн!“. С бавни крачки влязох вътре – това беше място под прикритие, защото Алборн приютяваше мутирали хора и ги вмъкваше в Палтрикус. След като отворих вратата, светлините бяха загасени, а по-интересното – Ал го нямаше. Нямаше бежанци. Нищо. Нещо не беше наред."
WMT,bg,These good quality stickers are about 50p each. They'll cost the same again to post. And way more in my own time to individually package and send them.,"Тези качествени стикери са около 50 пенса всеки. Ще струва още толкова, за да се изпратят по пощата. И много повече от моето време, за да ги опаковам и изпращам поотделно.","Тези стикери с добро качество струват по около 50 пенса на брой. Ще струват също толкова и когато се изпратят по пощата. И много повече от собственото ми време,за да ги опаковам и да ги изпратя."
WMT,bg,So the challenges in this are already showing themselves. I'm likely going to have a VERY difficult time getting a medical clearance due to the FAA's stance on certain medications.,Така че предизвикателствата в това вече се показват. Вероятно ще ми бъде МНОГО трудно да получа медицинско разрешение поради позицията на FAA относно някои лекарства.,Предизвикателствата вече се показват. Вероятно ще ми бъде МНОГО трудно да получа медицинско одобрение поради позицията на FAA относно някои лекарства.
WMT,bg,And just under the wire basically someone actually beat Trimming the Herbs! Really impressive.,"И буквално в последния момент някой успя да победи ""Подрязване на билките""! Наистина впечатляващо.",И точно в последния момент някой наистина победи Trimming the Herbs! Наистина впечатляващо.
WMT,bg,Yea so I flew this today.,"Да, та днес летях с това.","Да, аз летях с това днес."
WMT,bg,"So my dad can't give me rides to work. And for me, work is about 27 miles away. So there and back would be nearly a $100 a day with Uber. I haven't looked at Lyft. I could have, I guess, that makes sense. But I didn't have rental on my auto insurance, so that's my fault. So I guess I could have tried to do that and get that set up and tried to get a rental while I was down and out of a car. But even then, a rental wouldn't cover seven days. I'm going to sneeze, hold on. That sneeze sucked.","Така че баща ми не може да ме вози до работа. А работата ми е на около 43 километра. Така че отиване и връщане с Uber би ми струвало почти 100 долара на ден. Не съм проверявала Lyft. Можех, предполагам, това е логично. Но нямах застраховка за кола под наем, така че това е моя грешка. Така че предполагам, че можех да опитам да направя това и да го уредя и да се опитам да наема кола, докато бях без кола. Но дори и тогава, наемната кола нямаше да ми стигне за седем дни. Ще кихам, чакай.  Това кихане беше ужасно.","Баща ми не може да ме кара до работа. А моята работа е на около 27 мили, така че дотам и обратно би било почти 100 долара на ден с Uber. Не съм проверявал с Lyft. Бих могъл, вероятно си струва. Но нямам включен наем в моята автомобилна застраховка, това си е моя грешка. Предполагам, че можех да направя това и да се опитам да наема кола, докато съм без кола. Но дори и така, наемът не би покрил седем дни. Ще кихна, задръж така. Това кихане е гадно."
WMT,bg,Saturday Cont:,Събота (продължение):,Събота прод.:
WMT,bg,"Rosendale, a member of the hard-right Freedom Caucus, was one of the individuals who derailed the Wednesday votes. He views the top line number in Johnson's deal as being too high and as doing too little to cut the $34 trillion national debt.","Розендейл, член на крайнодясното крило „Група за свобода“, беше един от онези, които провалиха срядашното гласуване.  Според него горната граница, договорена от Джонсън, е твърде висока и не прави достатъчно за намаляване на националния дълг от 34 трилиона долара.","Розендейл, член на крайнодесния партиен актив Freedom Caucus, беше един от онези членове, които попречиха на гласуванията в сряда. Той счита числото от сделката на Джонсън за твърде голямо и недостатъчно, за да намали националния дълг, възлизащ на 34 трилиона щатски долара."
WMT,bg,"South Wales four-piece The Now are proud to release their debut album, Too Hot To Handle, via True Music, and Callum joins me now. How are you doing, Callum? How's it going? Yeah, all good. Good, yourself? Yes, I'm very good. Thank you. It's a privilege to speak to yourselves because I've been listening to your music quite a lot since 2023. So I'm just loving the music, and I think it's something that we definitely need in the charts these days.","Южноуелската четворка The Now с гордост представя дебютния си албум, Too Hot To Handle, чрез True Music, a Калъм се присъединява към мен сега. Как си, Калъм? Как върви? Да, всичко е наред. Добре, а ти? Да, много съм добре. Благодаря ти. Привилегия е да говоря с вас, защото слушам музиката ви доста от 2023 г. насам. Просто я обожавам и мисля, че е нещо, от което определено се нуждаем в класациите в наши дни.","Квартетът The Now от Южен Уелс с гордост издадоха своя дебютен албум, Too Hot To Handle, чрез True Music и Калъм е при мен сега. Как си, Калъм? Как върви? Всичко е наред. Добре ли си? Да, много съм добре, благодаря. За мен е привилегия да разговарям с теб, защото слушам вашата музика доста от 2023 година насам. Много ми харесва музиката и мисля, че е нещо, което определено трябва да бъде в класациите в наши дни."
WMT,bg,"The results are in and, drum roll, please, it's completely consistent with my family history. 89.9% British and Irish with most of that concentrated in the scottish borders, western Ireland, Wales, and cornwall. It doesn't show much breton tho so either they're so close to cornish they don't show as different in me or my breton family wasn't originally from there.","Резултатите са готови и, барабанен търкаляк, моля, напълно съвпадат с фамилната ми история. 89,9% британски и ирландски произход, като по-голямата част е концентрирана в шотландските граници, Западна Ирландия, Уелс и Корнуол. Не показва много бретонски произход, така че или са толкова близки до корнуолския, че не се различават при мен, или бретонските ми предци не са били оттам.","Резултатите пристигнаха, фанфари моля, това е напълно в съответствие със семейната ми история. 89,9% британци и ирландци, повечето от които са концентрирани в границите с Шотландия, Западна Ирландия, Уелс и Корнуол. Не се показват много бретонски обаче, така че или са много близки до корнуолските и не се показват като различни в мен, или моето бретонско семейство не произхожда първоначално оттам."
WMT,cs,"However, Tenuk and Kayel quickly realized they weren't alone. A second dark creature shot out from beneath them, and Tenuk only just managed to avoid a collision.","Nicméně, Tenuk a Kayel si rychle uvědomili, že nejsou sami. Druhý temný tvor vyrazil zpod nich a Tenukovi se jen o vlásek podařilo vyhnout srážce.","Tenuk a Kayel však rychle shledali, že nejsou sami. Zpoza nich se vyřítil druhý temný tvor a Tenuk měl co dělat, aby se vyhnul srážce."
WMT,cs,"Tenuk hesitated, then stepped back, giving himself some space. With a low, slightly pained grunt, Tenuk's body stretched out, his fur replaced with scales and his arms replaced with wings. He quickly turned himself into a normal, light blue Thraki, but his eyes remained red.","Tenuk zaváhal a pak ustoupil, aby si vytvořil prostor. S tichým, lehce bolestným zasténáním se Tenukovo tělo protáhlo, jeho srst nahradily šupiny a paže se proměnily v křídla. Rychle se přeměnil v normálního, světle modrého Thrakie, ale jeho oči zůstaly rudé.","Tenuk zaváhal, pak odstoupil, aby měl kolem sebe trochu víc místa. S hlubokým, trochu bolestivým zavrčením se Tenukovo tělo protáhlo, jeho srst se nahradila šupinami a paže se změnily v křídla. Rychle se proměnil v normálního, světle modrého Thrakiho, ale jeho oči zůstaly červené."
WMT,cs,"They wondered if she would actually let them enter, unlike the previous times they went to ask. I still have a bruise from the last time. Ivory chuckled from the memory. Kari had thrown a book at their shoulder, but when she saw who it was, she apologized immediately.","Přemýšleli, jestli je tentokrát opravdu nechá vejít, na rozdíl od předchozích případů, kdy se přišli zeptat. Pořád mám modřinu z posledně. Ivory se při vzpomínce zasmála. Kari je tehdy praštila knihou do ramene, ale když viděla, kdo to je, hned se omluvila.","Zajímalo ji, jestli ji opravdu pustí dovnitř, na rozdíl od předchozích pokusů. Pořád mám od posledně modřinu. Ivory se při té vzpomínce uchechtla. Kari po ní hodila knihu a trefila ji do ramene, ale když viděla, kdo to je, okamžitě se omluvila."
WMT,cs,"The ESP didn't go online immediately, let's give it a few minutes.","ESP se nepřipojila okamžitě, dejme tomu pár minut.","ESP se ihned nezapnulo, ale dáme tomu pár minut."
WMT,cs,"Ignacio Sánchez Recarte, secretary general of the Comité Européen des Entreprises Vins trade association representing some 7,000 wine producers across Europe, is dismissive of the concerns of the beer makers. He told Euronews that a market dominated by multinational brewing conglomerates bears no comparison with one comprised almost entirely of small, domestic producers.","Ignacio Sánchez Recarte, generální tajemník obchodního sdružení Comité Européen des Entreprises Vins, které zastupuje přibližně 7 000 výrobců vína po celé Evropě, odmítá obavy výrobců piva. Pro Euronews uvedl, že trh ovládaný nadnárodními pivovarnickými konglomeráty se nedá srovnávat s trhem, který se skládá téměř výhradně z malých domácích producentů.","Generální tajemník obchodní asociace Comité Européen des Entreprises Vins a zástupce přibližně 7 000 výrobců vína v celé Evropě Ignacio Sánchez Recarte odmítá obavy výrobců piva. Pro Euronews řekl, že trh, kterému dominují mezinárodní pivovarnické konglomeráty, nemá smysl porovnávat s trhem, který je složený z převážně malých lokálních producentů."
WMT,cs,@user4 @user3 @user5 @user6,"@user4 @user3 @user5 @user6  --  This requires no translation as ""@"" mentions are generally consistent across platforms and understood in the same way in Czech (cs) as they are in English.",@user4 @user3 @user5 @user6
WMT,cs,"Judging by the state of our hospitals, the SNP's talk of recovery plans and action plans is simply that - talk, and dangerous talk at that. We must not allow incompetent politicians to lull us into complicity in the demise of that great British institution, the National Health Service.","Soudě dle stavu našich nemocnic, řeči SNP o plánech obnovy a akčních plánech jsou jenom řeči, a navíc nebezpečné. Nesmíme dovolit, aby nás neschopní politici ukolébali k spoluúčasti na zániku té velké britské instituce, Národní zdravotní služby.","Soudě podle stavu našich nemocnic jsou řeči SNP o plánu na obnovu a plány opatření jednoduše pouze řeči, a to nebezpečné řeči. Nesmíme dovolit neschopným politikům, aby nás vtáhli do spoluúčasti na pádu velké britské instituce National Health Service."
WMT,cs,🚨 breaking news:,🚨 Mimořádná událost:,🚨 mimořádné zprávy:
WMT,cs,This song is encapsulates my predicament…,"This sentence can be translated to Czech in a few ways, depending on the nuance you want to convey:

* **Tato píseň vystihuje mé těžkosti…** (This song captures/expresses my difficulties…) - This is a common and natural translation.

* **Tato píseň dokonale vystihuje mé těžkosti…** (This song perfectly captures/expresses my difficulties…) -  Adds emphasis.

* **Tato píseň shrnuje mé těžkosti…** (This song summarizes my difficulties…) -  Focuses on the song representing the overall situation.

* **Tato píseň je ztělesněním mých těžkostí…** (This song is the embodiment of my difficulties…) - More poetic and dramatic.

* **V téhle písni se zračí mé těžkosti…** (My difficulties are reflected in this song…) -  A more indirect way of expressing the same idea.

The best option depends on the context and the desired level of formality.  If you want a more literal translation of ""predicament,"" you could use ""zapeklitá situace"" (difficult situation),  ""nepříjemná situace"" (unpleasant situation) or ""svízelná situace"" (tight spot).  For example:  **Tato píseň vystihuje mou zapeklitou situaci…**

However, ""těžkosti"" (difficulties) is often a better choice as it is more concise and natural sounding.",Tahle písnička stručně popisuje mou situaci…
WMT,cs,Both the old and the new Listing titles call it a 12V 10W panel.,"Starý i nový název nabídky uvádí, že se jedná o 12V 10W panel.",Jak starý tak nový popis uvádí 12V 10W panel.
WMT,cs,"Isn’t that funny? We have half the manpower left, and we can’t even refrain from hurting one another. I hastily sped up, Al’s was around the corner, so I would be fine inside. A glance behind me ensured that I was no longer being tailed as I stood in front of a bright glowing sign that read, “Alborn’s Pawnshop!” With slower steps, I entered once again–this place was more under the cover, as Alborn would often take in people who’d been mutated and snuck into Paltricus. Upon opening the door, the lights had been shut off, interestingly enough–there was no Al. No refugees. Nothing. Something wasn’t right here.","Není to legrační? Zbývá nám polovina lidí a ani se nedokážeme ubránit tomu, abychom si navzájem ubližovali. Zrychlil jsem krok, Alův obchod byl za rohem, uvnitř budu v bezpečí. Pohledem přes rameno jsem se ujistil, že mě nikdo nesleduje, když jsem se zastavil před jasně zářícím nápisem ""Albornova zastavárna!"". Pomalejšími kroky jsem znovu vstoupil dovnitř – tohle místo bylo spíš v ústraní, protože Alborn často přijímal zmutované lidi, kteří se tajně dostali do Paltricu. Když jsem otevřel dveře, světla byla zhasnutá, což bylo dost zvláštní – Al tam nebyl. Žádní uprchlíci. Nic. Něco tady nesedělo.","Není to legrační? Až polovina pracovních sil je nadbytečná a my se nedokážeme oprostit od toho, abychom si navzájem ubližovali. Zrychlila jsem, Alův obchod byl za rohem a uvnitř mi bude dobře. Když jsem stála před jasně zářícím nápisem „Albornova zastavárna!“, pohledem za sebe jsem se ujistila, že mě už nikdo nepronásleduje. Pomalejšími kroky jsem vešla dovnitř – toto místo vypadalo spíše jako úkryt, protože Alborn často přijímal lidi, kteří byli zmutováni a do Paltrica se dostávali tajně. Otevřela jsem dveře a světla byla zhasnutá, což je divné – nebyl tam žádný Al. Žádní uprchlíci. Nic. Něco zde nesedělo."
WMT,cs,These good quality stickers are about 50p each. They'll cost the same again to post. And way more in my own time to individually package and send them.,Tyto kvalitní samolepky stojí asi 50 pencí za kus. Poštovné bude stát stejně. A zabalení a odeslání každého zvlášť mě bude stát mnohem víc mého času.,"Tyto kvalitní nálepky stojí zhruba 50 pencí za kus. Poštovné by stálo ještě jednou tolik. A ještě mnohem víc v přepočtu na můj čas, který bych strávil balením a zasíláním."
WMT,cs,So the challenges in this are already showing themselves. I'm likely going to have a VERY difficult time getting a medical clearance due to the FAA's stance on certain medications.,Takže se v tom už začínají objevovat problémy. Pravděpodobně budu mít VELMI těžké získat lékařské schválení kvůli postoji FAA (Federálního úřadu pro letectví) k určitým lékům.,Tak už se začínají projevovat výzvy. Pravděpodobně budu mít DOST velký problém získat zdravotní potvrzení kvůli názoru FAA na některé léky.
WMT,cs,And just under the wire basically someone actually beat Trimming the Herbs! Really impressive.,A těsně před koncem někdo skutečně porazil Stříhání bylin! Opravdu působivé.,A za pět minut dvanáct v podstatě někdo opravdu dohrál úroveň Trimming the Herbs! Opravdu působivé.
WMT,cs,Yea so I flew this today.,"Here are a few options for translating ""Yea so I flew this today"" to Czech, depending on the context and what ""this"" refers to:

**Formal:**

* **Ano, dnes jsem s tím letěl/a.** (If ""this"" is a masculine inanimate object)
* **Ano, dnes jsem s tím letěla.** (If ""this"" is a feminine inanimate object)
* **Ano, dnes jsem s tím letěl/a.** (If ""this"" is a neuter inanimate object)
* **Ano, dnes jsem s ním letěl/a.** (If ""this"" is a masculine animate object, like a person or animal)
* **Ano, dnes jsem s ní letěla.** (If ""this"" is a feminine animate object)

*(Use the masculine/feminine form depending on your gender.  The masculine form is more common even if the speaker is female, especially in informal speech)*

**Informal:**

* **Jo, dneska jsem s tím letěl/a.** (Similar to the formal examples, just using the more colloquial ""jo"" and ""dneska"")
* **Jo, tak jsem s tím dneska letěl/a.** (Adding ""tak"" adds a bit of a conversational tone)
* **Letěl/a jsem s tím dneska.** (More direct and concise)


**If ""this"" refers to a plane/aircraft specifically, you could say:**

* **Jo, dneska jsem s tímhle letadlem letěl/a.** (This plane)
* **Jo, dneska jsem tímhle letadlem letěl/a.** (Also this plane, a little more colloquial)
* **Jo, dneska jsem pilotoval/a tohle letadlo.** (If you were the pilot)

**To translate it accurately, I need more context.  What is ""this"" referring to?** For example:

* **A plane:** ""Letěl/a jsem dneska tímhle letadlem.""
* **A drone:** ""Letěl/a jsem dneska s tímhle dronem.""
* **A simulator:** ""Letěl/a jsem dneska na tomhle simulátoru.""
* **A bird (in a dream or figuratively):** ""Letěl/a jsem dneska s tímhle ptákem.""


Provide more details about ""this,"" and I can give you a more precise translation.",Tak jsem dneska letěla v tomto.
WMT,cs,"So my dad can't give me rides to work. And for me, work is about 27 miles away. So there and back would be nearly a $100 a day with Uber. I haven't looked at Lyft. I could have, I guess, that makes sense. But I didn't have rental on my auto insurance, so that's my fault. So I guess I could have tried to do that and get that set up and tried to get a rental while I was down and out of a car. But even then, a rental wouldn't cover seven days. I'm going to sneeze, hold on. That sneeze sucked.","Takže táta mě nemůže vozit do práce. A práce je ode mě asi 43 kilometrů. Takže tam a zpět by mě Uber stál skoro 2 500 Kč denně. Na Lyft jsem se nedíval. Mohl jsem, to dává smysl. Ale neměl jsem v pojištění auta zahrnuté půjčení náhradního vozidla, takže to je moje chyba. Mohl jsem to zkusit zařídit a půjčit si auto, když jsem byl bez auta. Ale i tak by půjčovné nepokrylo sedm dní. Budu kýchat, počkejte. To kýchnutí bylo hrozné.","Tak táta mě nemůže vozit do práce. A do práce to mám 43 kilometrů. Takže tam a zpět s Uberem by to bylo skoro 100 $ na den. Na Lyft jsem se nedíval. Asi jsem mohl, dává to smysl. Ale neměl jsem v pojištění auta půjčení náhradního, takže je to moje chyba. Asi jsem to mohl zkusit, pořídit si to a zkusit získat náhradní auto, když to moje bylo mimo. Ale i tak, náhradní auto by mi nepokrylo sedm dní. Počkat, chce se mi kýchnout. Tak ten kýchanec nebyl dobrej."
WMT,cs,Saturday Cont:,Sobota pokračuje:,Sobota pokračuje:
WMT,cs,"Rosendale, a member of the hard-right Freedom Caucus, was one of the individuals who derailed the Wednesday votes. He views the top line number in Johnson's deal as being too high and as doing too little to cut the $34 trillion national debt.","Rosendale, člen krajně pravicového Sněmovního klubu pro svobodu (Freedom Caucus), byl jedním z těch, kdo zhatili středeční hlasování. Považuje horní hranici rozpočtu v Johnsonově dohodě za příliš vysokou a za nedostatečnou pro snížení státního dluhu ve výši 34 bilionů dolarů.","Rosendale, člen tvrdě pravicového výboru Freedom Caucus, byl jedním z těch, kdo zmařili středeční hlasování. Zastává názor, že Johnsonova varianta jde na horní hranici a Johnson dělá příliš málo ke snížení státního dluhu ve výši 34 bilionů dolarů."
WMT,cs,"South Wales four-piece The Now are proud to release their debut album, Too Hot To Handle, via True Music, and Callum joins me now. How are you doing, Callum? How's it going? Yeah, all good. Good, yourself? Yes, I'm very good. Thank you. It's a privilege to speak to yourselves because I've been listening to your music quite a lot since 2023. So I'm just loving the music, and I think it's something that we definitely need in the charts these days.","Velšská čtyřčlenná kapela The Now s hrdostí vydává své debutové album Too Hot To Handle u True Music a Callum se k nám teď připojuje. Jak se máš, Callume? Jak to jde? Jo, všechno v pohodě. Dobře, a ty? Ano, mám se skvěle. Děkuji. Je mi ctí s vámi mluvit, protože vaši hudbu poslouchám docela dost už od roku 2023. Prostě vaši hudbu miluju a myslím, že je to něco, co v dnešní době v hitparádách rozhodně potřebujeme.","The Now, čtyřčlenná kapela z Jižního Walesu, s radostí oznamuje uvedení svého debutového alba Too Hot To Handle prostřednictvím True Music a za mnou teď přichází Callum. Jak se máš, Callume? Jak to jde? Ale jo, super. U tebe taky? Ano, mám se skvěle. Díky. Je mi ctí, že s tebou mohu mluvit, protože tvou hudbu docela dost poslouchám od roku 2023. Úplně tu hudbu zbožňuju a myslím, že něco takového v hitparádách dnes rozhodně potřebujeme."
WMT,cs,"The results are in and, drum roll, please, it's completely consistent with my family history. 89.9% British and Irish with most of that concentrated in the scottish borders, western Ireland, Wales, and cornwall. It doesn't show much breton tho so either they're so close to cornish they don't show as different in me or my breton family wasn't originally from there.","Výsledky jsou tady a, *bubnujte na bubínky*, prosím, je to zcela v souladu s mou rodinnou historií. 89,9 % Britové a Irové, přičemž většina z toho je soustředěna na skotských hranicích, v západním Irsku, Walesu a Cornwallu. Moc Bretaně tam ale nevidím, takže buď jsou si s Cornwallem tak blízcí, že se u mě neprojevují jako odlišní, nebo moje bretonská rodina odtamtud původně nepocházela.","Tak přišly výsledky a… prosím o víření bubnů… jsou úplně v souladu s historií mé rodiny. Z 89,9 % Brit a Ir s tím, že většina se koncentruje na skotských hranicích, ve západním Irsku, Walesu a Cornwallu. Neukazuje to ale moc bretaňských genů, takže jsou buď tak blízké cornwallským, že se u mě nezobrazují jako jiné, nebo moje bretaňská rodina nebyla původně odtamtud."
WMT,da,"However, Tenuk and Kayel quickly realized they weren't alone. A second dark creature shot out from beneath them, and Tenuk only just managed to avoid a collision.","Men Tenuk og Kayel indså hurtigt, at de ikke var alene. En anden mørk skabning skød frem under dem, og Tenuk undgik kun lige akkurat et sammenstød.","Det gik dog hurtigt op for Tenuk og Kayel, at de ikke var alene. Et andet mørkt væsen skød ud under dem, og Tenuk undgik med nød og næppe en kollision."
WMT,da,"Tenuk hesitated, then stepped back, giving himself some space. With a low, slightly pained grunt, Tenuk's body stretched out, his fur replaced with scales and his arms replaced with wings. He quickly turned himself into a normal, light blue Thraki, but his eyes remained red.","Tenuk tøvede, og trådte så tilbage for at give sig selv lidt plads. Med et lavt, lettere smertefuldt grynt strakte Tenuks krop sig, hans pels blev erstattet af skæl, og hans arme blev til vinger. Han forvandlede sig hurtigt til en normal, lyseblå Thraki, men hans øjne forblev røde.","Tenuk tøvede lidt, men trådte så et skridt tilbage, så han fik lidt mere plads. Med et lavt, lettere smertefuldt grynt strakte Tenuks krop sig ud. Hans pels blev til skæl, og hans arme blev til vinger. På et øjeblik var han forvandlet til en almindelig, lyseblå thraki, men hans øjne var stadig røde."
WMT,da,"They wondered if she would actually let them enter, unlike the previous times they went to ask. I still have a bruise from the last time. Ivory chuckled from the memory. Kari had thrown a book at their shoulder, but when she saw who it was, she apologized immediately.","De spekulerede på, om hun rent faktisk ville lukke dem ind denne gang, i modsætning til de tidligere gange de havde været der for at spørge. Jeg har stadig et blåt mærke fra sidste gang. Ivory fniste ved tanken. Kari havde kastet en bog i skulderen på dem, men da hun så hvem det var, undskyldte hun med det samme.","De spekulerede på, om hun rent faktisk ville lade dem komme ind denne gang, til forskel fra de andre gange, hvor de havde spurgt. ""Jeg har stadig en blå plet fra sidste gang,"" fnisede Ivory ved tanken. Kari havde kastet en bog efter dem, men da hun så, hvem det var, havde hun straks sagt undskyld."
WMT,da,"The ESP didn't go online immediately, let's give it a few minutes.","ESP'en kom ikke online med det samme, lad os give den et par minutter.","ESP'en kom ikke online endnu, lad os vente et par minutter."
