Source,Hypothesis,Reference,Source Language,Target Language
"Ignacio Sánchez Recarte, secretary general of the Comité Européen des Entreprises Vins trade association representing some 7,000 wine producers across Europe, is dismissive of the concerns of the beer makers. He told Euronews that a market dominated by multinational brewing conglomerates bears no comparison with one comprised almost entirely of small, domestic producers.",,"ignacio sánchez recarte, generalsekretær for handelsforeningen comité européen des entreprises vins, der repræsenterer omkring 7.000 vinproducenter i hele europa, afviser ølproducenternes bekymringer. han udtalte til euronews, at et marked domineret af multinationale bryggerikonglomerater ikke kan sammenlignes med et marked, der næsten udelukkende består af små, indenlandske producenter.",en,da
@user4 @user3 @user5 @user6,,@bruger4 @bruger3 @bruger5 @bruger6,en,da
"Judging by the state of our hospitals, the SNP's talk of recovery plans and action plans is simply that - talk, and dangerous talk at that. We must not allow incompetent politicians to lull us into complicity in the demise of that great British institution, the National Health Service.",,"at dømme efter tilstanden på vores hospitaler, er snp's snak om genopretningsplaner og handlingsplaner simpelthen det - snak, og farlig snak oven i købet. vi må ikke tillade inkompetente politikere at lulle os ind i meddelagtighed i nedlæggelsen af ​​den store britiske institution, national health service.",en,da
🚨 breaking news:,,🚨 seneste nyheder:,en,da
This song is encapsulates my predicament…,,den her sang passer perfekt til mit dilemma...,en,da
Both the old and the new Listing titles call it a 12V 10W panel.,,både den gamle og den nye indholdsoverskrift kalder det et 12v 10w panel.,en,da
"However, Tenuk and Kayel quickly realized they weren't alone. A second dark creature shot out from beneath them, and Tenuk only just managed to avoid a collision.","tenuk a kayel si však rychle uvědomili, že nejsou sami. druhé temné stvoření vyletělo zpod nich, a tenuk se jen podařilo vyhnout se kolizi.","tenuk a kayel však rychle shledali, že nejsou sami. zpoza nich se vyřítil druhý temný tvor a tenuk měl co dělat, aby se vyhnul srážce.",en,cs
"Tenuk hesitated, then stepped back, giving himself some space. With a low, slightly pained grunt, Tenuk's body stretched out, his fur replaced with scales and his arms replaced with wings. He quickly turned himself into a normal, light blue Thraki, but his eyes remained red.","tenuk zaváhal, pak se odvrátil a dal si trochu místa. tenuk se s nízkým, mírně bolestivým zabručením vyprostil, kožešinu nahradil ocasy a ruce nahradil křídly. rychle se změnil v normální, světle modré thraki, ale oči zůstaly rudé.","tenuk zaváhal, pak odstoupil, aby měl kolem sebe trochu víc místa. s hlubokým, trochu bolestivým zavrčením se tenukovo tělo protáhlo, jeho srst se nahradila šupinami a paže se změnily v křídla. rychle se proměnil v normálního, světle modrého thrakiho, ale jeho oči zůstaly červené.",en,cs
"They wondered if she would actually let them enter, unlike the previous times they went to ask. I still have a bruise from the last time. Ivory chuckled from the memory. Kari had thrown a book at their shoulder, but when she saw who it was, she apologized immediately.","přemýšleli, jestli je skutečně nechá jít, na rozdíl od předchozích věcí, kdy se ptali. pořád mám modřinu z posledního. ivory se zasmál z paměti. kari jim hodila knihu na rameno, ale když viděla, kdo to je, okamžitě se omluvila.","zajímalo ji, jestli ji opravdu pustí dovnitř, na rozdíl od předchozích pokusů. pořád mám od posledně modřinu. ivory se při té vzpomínce uchechtla. kari po ní hodila knihu a trefila ji do ramene, ale když viděla, kdo to je, okamžitě se omluvila.",en,cs
"The ESP didn't go online immediately, let's give it a few minutes.","esp nešla hned online, dáme si to pár minut.","esp se ihned nezapnulo, ale dáme tomu pár minut.",en,cs
"Ignacio Sánchez Recarte, secretary general of the Comité Européen des Entreprises Vins trade association representing some 7,000 wine producers across Europe, is dismissive of the concerns of the beer makers. He told Euronews that a market dominated by multinational brewing conglomerates bears no comparison with one comprised almost entirely of small, domestic producers.","ignacio sánchez recarte, generální tajemník výboru européen des entreprises vins obchodní asociace zastupující přibližně 7 000 výrobců vína v celé evropě, odmítá obavy výrobců piva. řekl euronewsu, že trh ovládaný vícenárodními brewerskými konglomeráty nemá žádnou srovnání s trhem tvořeným téměř výhradně malými domácími výrobci.","generální tajemník obchodní asociace comité européen des entreprises vins a zástupce přibližně 7 000 výrobců vína v celé evropě ignacio sánchez recarte odmítá obavy výrobců piva. pro euronews řekl, že trh, kterému dominují mezinárodní pivovarnické konglomeráty, nemá smysl porovnávat s trhem, který je složený z převážně malých lokálních producentů.",en,cs
@user4 @user3 @user5 @user6,@user4 @user3 @user5 @user6,@user4 @user3 @user5 @user6,en,cs
"Judging by the state of our hospitals, the SNP's talk of recovery plans and action plans is simply that - talk, and dangerous talk at that. We must not allow incompetent politicians to lull us into complicity in the demise of that great British institution, the National Health Service.","podle stavu našich nemocnic je řeč snp o plánech obnovy a akčních plánech prostě taková - řeč a nebezpečná řeč - nesmíme dovolit nekompetentním politikům, abychom nás přiměli k spoluúčasti na úpadku této velké britské instituce, národní zdravotní služby.","soudě podle stavu našich nemocnic jsou řeči snp o plánu na obnovu a plány opatření jednoduše pouze řeči, a to nebezpečné řeči. nesmíme dovolit neschopným politikům, aby nás vtáhli do spoluúčasti na pádu velké britské instituce national health service.",en,cs
🚨 breaking news:,nově se zveřejňuje:,🚨 mimořádné zprávy:,en,cs
This song is encapsulates my predicament…,tato píseň zahrnuje mé potíže...,tahle písnička stručně popisuje mou situaci…,en,cs
Both the old and the new Listing titles call it a 12V 10W panel.,staré i nové názvy listing to nazývají panelem 12v 10w.,jak starý tak nový popis uvádí 12v 10w panel.,en,cs
"However, Tenuk and Kayel quickly realized they weren't alone. A second dark creature shot out from beneath them, and Tenuk only just managed to avoid a collision.","jedoch erkannten tenuk und kayel schnell, dass sie nicht allein waren. ein zweites dunkles wesen schoss aus unter ihnen heraus, und tenuk gelang es nur, einen kollision zu vermeiden.","tenuk und kayel merkten schnell, dass sie nicht alleine waren. ein zweites dunkles wesen schoss unter ihnen in die höhe, und tenuk konnte nur ganz knapp einen zusammenstoß vermeiden.",en,de
"Tenuk hesitated, then stepped back, giving himself some space. With a low, slightly pained grunt, Tenuk's body stretched out, his fur replaced with scales and his arms replaced with wings. He quickly turned himself into a normal, light blue Thraki, but his eyes remained red.","tenuk zögerte, schritt dann zurück und gab sich etwas platz. mit einem niedrigen, leicht schmerzhaften gruß streckte sich tenuk's körper aus, seine fell ersetzte mit schuppen und seine arme ersetzte mit flügeln. er verwandelte sich schnell in einen normalen, hellblauen thraki, aber seine augen blieben rot.","tenuk zögerte, dann trat er zurück, um mehr platz zu haben. mit einem leisen, schmerzlichen grunzlaut streckte sich tenuks körper in die länge, sein pelz wurde zu schuppen und seine arme zu flügeln. er verwandelte sich rasch in einen normalen, hellblauen thraki, aber seine augen blieben rot.",en,de
"They wondered if she would actually let them enter, unlike the previous times they went to ask. I still have a bruise from the last time. Ivory chuckled from the memory. Kari had thrown a book at their shoulder, but when she saw who it was, she apologized immediately.","sie fragten sich, ob sie sie tatsächlich zulassen würde, dass sie hinein, im gegensatz zu den früheren zeiten, die sie zu fragen gingen. ich habe immer noch eine brust von der letzten zeit. ivory lächelte aus dem gedächtnis. kari hatte ein buch an ihre schulter geworfen, aber als sie sah, wer es war, sie entschuldigte sich sofort.","ivory fragte sich, ob – anders als beim letzten versuch – tatsächlich einlass gewährt werden würde. ich habe immer noch blaue flecken vom letzten mal. ivory kicherte bei dem gedanken. kari hatte ein buch gegen ivorys schulter geworfen, entschuldigte sich aber sofort, als sie erkannte, wen sie da getroffen hatte.",en,de
"The ESP didn't go online immediately, let's give it a few minutes.","die esp ging nicht sofort online, lass uns es ein paar minuten geben.",der esp ging nicht sofort online. warten wir ein paar minuten.,en,de
"Ignacio Sánchez Recarte, secretary general of the Comité Européen des Entreprises Vins trade association representing some 7,000 wine producers across Europe, is dismissive of the concerns of the beer makers. He told Euronews that a market dominated by multinational brewing conglomerates bears no comparison with one comprised almost entirely of small, domestic producers.","ignacio sánchez recarte, generalsekretär des comité européen des entreprises vins handelsverbandes, der rund 7000 weinproduzenten in ganz europa repräsentiert, lehnt die sorgen der bierhersteller ab. er erklärte euronews, dass ein markt, der von multinationalen braukonglomeraten dominiert wird, keinen vergleich mit einem markt hat, der fast ausschließlich aus kleinen, heimischen produzenten besteht.","ignacio sánchez recarte, generalsekretär des europäischen verbands der weinindustrie, dem comité européen des entreprises vin, der ca. 7.000 winzer in ganz europa vertritt, winkt bei den bedenken der bierhersteller ab. er sagte gegenüber euronews, dass ein markt, der von multinationalen brau-konglomeraten beherrscht wird, nicht mit einer branche verglichen werden kann, die fast ausschließlich aus kleinen, inländischen herstellern besteht.",en,de
@user4 @user3 @user5 @user6,@benutzer4 @benutzer3 @benutzer5 @benutzer6,@user4 @user3 @user5 @user6,en,de
"Judging by the state of our hospitals, the SNP's talk of recovery plans and action plans is simply that - talk, and dangerous talk at that. We must not allow incompetent politicians to lull us into complicity in the demise of that great British institution, the National Health Service.","nach dem zustand unserer krankenhäuser zu urteilen, ist die rede des snp über erholungspläne und aktionspläne einfach nur diese - und gefährliche rede dahingehend. wir dürfen uns nicht zulassen, dass uns unkompetente politiker in die komplizenschaft mit dem untergang dieser großen britischen institution, des nationalen gesundheitsdienstes, locken.","wenn wir uns den zustand unserer krankenhäuser einmal ansehen, handelt es sich beim gerede der snp von sanierung und aktionsplänen um nichts weiter als leere versprechen – und zwar gefährliche leere versprechen. wir dürfen nicht zulassen, dass sich die öffentlichkeit von inkompetenten politikern dazu hinreißen lässt, den niedergang unserer großen britischen institution, dem nhs, mitzutragen.",en,de
🚨 breaking news:,neuigkeiten:,🚨 eilmeldung:,en,de
This song is encapsulates my predicament…,dieses lied ist encapsulatiert meine bedingung...,dieses lied beschreibt mein schicksal…,en,de
Both the old and the new Listing titles call it a 12V 10W panel.,sowohl die alten als auch die neuen listing-titel nennen es ein 12v 10w-panel.,der alte als und auch der neue listing-titel nennen es ein 12 v 10-w-panel.,en,de
"However, Tenuk and Kayel quickly realized they weren't alone. A second dark creature shot out from beneath them, and Tenuk only just managed to avoid a collision.","sin embargo, tenuk y kayel se han dado cuenta de que no están solos. una segunda criatura escura disparó de abajo, y tenuk sólo ha conseguido evitar una collisión.","sin embargo, tenuk y kayel no tardaron en darse cuenta de que no estaban solos. una segunda criatura oscura salió disparada de debajo de ellos; tenuk a duras penas logró evitar una colisión.",en,es
"Tenuk hesitated, then stepped back, giving himself some space. With a low, slightly pained grunt, Tenuk's body stretched out, his fur replaced with scales and his arms replaced with wings. He quickly turned himself into a normal, light blue Thraki, but his eyes remained red.","tenuk tardó, luego se retiró, dando a sí mismo un poco de espacio. con un grunto bajo, ligeramente doloroso, tenuk el cuerpo se extendió, su pelo se reemplazó con scales y sus brazos se reemplazaron con alas.","tenuk vaciló, luego dio un paso atrás, dándose algo de espacio. con un gruñido grave y algo lastimero, el cuerpo de tenuk se estiró, cambiando su pelaje por escamas y sus brazos por alas. rápidamente se transformó en un thraki normal de color azul claro, pero sus ojos continuaron siendo rojos.",en,es
"They wondered if she would actually let them enter, unlike the previous times they went to ask. I still have a bruise from the last time. Ivory chuckled from the memory. Kari had thrown a book at their shoulder, but when she saw who it was, she apologized immediately.","se preguntaban si ella les permitiría entrar, a diferencia de las veces anteriores que se habían ido a preguntar. todavía tengo una herida de la última vez. ivory se llamó de la memoria. kari había arrojado un libro a su ojo, pero cuando vi quién era, disculpaba inmediatamente.","se preguntaba si realmente le dejaría entrar, a diferencia de las veces anteriores que fue a preguntar. “aún tengo un moretón de la última vez”, recordó ivory con una sonrisa. kari le había arrojado un libro al hombro, pero cuando vio quién era se disculpó de inmediato.",en,es
"The ESP didn't go online immediately, let's give it a few minutes.","el esp no se puso en línea inmediatamente, vamos a darle unos minutos.",el esp no se conectó de inmediato; vamos a darle unos minutos.,en,es
"Ignacio Sánchez Recarte, secretary general of the Comité Européen des Entreprises Vins trade association representing some 7,000 wine producers across Europe, is dismissive of the concerns of the beer makers. He told Euronews that a market dominated by multinational brewing conglomerates bears no comparison with one comprised almost entirely of small, domestic producers.","ignacio sánchez recarte, secretario general del comité européen des entreprises vins, asociación comercial que representa a unos 7 000 productores de vinos de toda europa, rechaza las preocupaciones de los fabricantes de cerveza y dice a euronews que un mercado dominado por conglomerados de cerveza multinacionales no tiene nada que comparar con un mercado formado casi exclusivamente por pequeños productores nacionales.","ignacio sánchez recarte, secretario general de la asociación de comerciantes comité européen des entreprises vins y que representa a unos 7,000 productores de vino de toda europa, es contrario a las inquietudes de los fabricantes de cerveza. declaró a euronews que un mercado dominado por conglomerados cerveceros multinacionales no se puede comparar con uno formado casi en su totalidad por pequeños productores nacionales.",en,es
@user4 @user3 @user5 @user6,"el comité recomienda al estado parte que adopte todas las medidas necesarias para garantizar la igualdad de oportunidades de hombres y mujeres en materia de empleo, incluida la eliminación de todas las formas de discriminación contra la mujer, incluida la discriminación racial, la xenofobia y las formas conexas de intolerancia, la discriminación racial, la xenofobia y las formas conexas de intolerancia, así como la eliminación de todas las formas de discriminación contra la mujer, en particular la discriminación racial, la xenofobia y las formas conexas de intolerancia, la discriminación racial, la xenofobia y las formas conexas de intolerancia, la discriminación racial, la xenofobia y las formas conexas de intolerancia, la discriminación racial, la xenofobia y las formas conexas de intolerancia, la discriminación racial, la xenofobia y las formas conexas de intolerancia, la xenofobia y las formas conexas de intolerancia, la discriminación racial, la xenofobia y las formas conexas de intolerancia, la xenofobia y las formas conexas de intolerancia, la discriminación racial, la xenofobia y las formas conexas de intolerancia, la xenofobia y las formas conexas de intolerancia, la xenofobia y las formas conexas de intolerancia, la xenofobia y las formas conexas de intolerancia, la xenofobia y las formas conexas de intolerancia, la xenofobia y las formas conexas de intolerancia, la xenofobia y las formas conexas de intolerancia, la xenofobia y las formas conexas de intolerancia, la xenofobia y las formas conexas de intolerancia, la xenofobia y las formas conexas de intolerancia",@usuario4 @usuario3 @usuario5 @usuario6,en,es
"Judging by the state of our hospitals, the SNP's talk of recovery plans and action plans is simply that - talk, and dangerous talk at that. We must not allow incompetent politicians to lull us into complicity in the demise of that great British institution, the National Health Service.","judgiendo por el estado de nuestros hospitales, la intervención del snp sobre planes de recuperación y planes de acción es sencillamente una intervención, una intervención peligrosa, y no debemos permitir que los políticos incompetentes nos lleven a la complicidad en el fallecimiento de esta gran institución británica, el servicio nacional de salud.","basándonos en el estado de nuestros hospitales, el discurso del snp sobre planes de recuperación y planes de acción es simplemente eso: un discurso, y además peligroso. no debemos permitir que políticos incompetentes nos hagan cómplices de la desaparición de la gran institución británica que es el servicio nacional de salud.",en,es
🚨 breaking news:,"la comisión consultiva en asuntos administrativos y de presupuesto examinó el proyecto de presupuesto por programas para el bienio 2002-2003 (a/60/6 (vol. i) y corr.1) en su quincuagésimo noveno período de sesiones (a/60/6 (vol. i) y a/60/6 (vol. ii)), y aprobó el proyecto de presupuesto por programas para el bienio 2002-2003 (a/60/6 (vol. ii) y a/60/6 (vol. iii)) en su quincuagésimo noveno período de sesiones (a/60/6 (vol. ii) y a/60/6 (vol. iii)).",🚨 noticias de última hora:,en,es
This song is encapsulates my predicament…,esta canción encapsula mi desventaja...,esta canción resume mi dilema…,en,es
Both the old and the new Listing titles call it a 12V 10W panel.,tanto los antiguos como los nuevos títulos de lista lo llaman un panel de 12v 10w.,tanto en el anuncio antiguo como en el nuevo aparece como un panel de 12 v y 10 w.,en,es
"However, Tenuk and Kayel quickly realized they weren't alone. A second dark creature shot out from beneath them, and Tenuk only just managed to avoid a collision.","siiski mõistsid tenuk ja kayel kiiresti, et nad ei ole üksi. teine tume loodud-olev tuli nende all välja, ja tenuk suutis lihtsalt vältida kokkupõrget.","tenuk ja kayel said aga kiiresti aru, et nad ei olnud üksi. teine tume olend sööstis nende alt välja ja tenuk suutis vaid vaevu vältida kokkupõrget.",en,et
"Tenuk hesitated, then stepped back, giving himself some space. With a low, slightly pained grunt, Tenuk's body stretched out, his fur replaced with scales and his arms replaced with wings. He quickly turned himself into a normal, light blue Thraki, but his eyes remained red.","tenuk kõhkles, siis asus tagasi, andes endale veidi ruumi. väikse, veidi valusa gruntiga, tenuk keha välja tõmmatud, tema päik asendati kaalud ja tema käed asendati tiivad. ta kiiresti muutunud normaalne, kerge sinine thraki, kuid tema silmad jäid punane.","tenuk kõhkles, astus siis tahapoole, jättes endale natuke ruumi. madala, veidi valusa nurina saatel venis tenuki keha välja, tema karv asendus soomustega ja tema käed asendusid tiibadega. ta muutis end kiiresti tavaliseks helesiniseks thrakiks, aga ta silmad jäid punaseks.",en,et
"They wondered if she would actually let them enter, unlike the previous times they went to ask. I still have a bruise from the last time. Ivory chuckled from the memory. Kari had thrown a book at their shoulder, but when she saw who it was, she apologized immediately.","nad küsisid, kas ta lubab neil tegelikult siseneda, erinevalt varasematest kordadest, kui nad läksid küsida. mul on ikka veel haav eelmisel korral. ivory naerus mälestusest. kari oli visanud raamatu nende õlga, kuid kui ta nägi, kes see oli, ta vabandust kohe.","ta mõtles, kas ta laseb tal üldse tuppa astuda, erinevalt eelmistest kordadest, kui ta seda palunud oli. mul on jätkuvalt marrastus eelmisest korrast. ivory meenutas seda muheledes. kari oli visanud raamatu vastu tema õlga, aga kui ta nägi, kes see oli, siis oli ka kohe vabandanud.",en,et
"The ESP didn't go online immediately, let's give it a few minutes.","esp ei lähe online kohe, andkem talle mõned minutid.","esp ei ilmunud kohe võrku, ootame mõne minuti.",en,et
"Ignacio Sánchez Recarte, secretary general of the Comité Européen des Entreprises Vins trade association representing some 7,000 wine producers across Europe, is dismissive of the concerns of the beer makers. He told Euronews that a market dominated by multinational brewing conglomerates bears no comparison with one comprised almost entirely of small, domestic producers.","ignacio sánchez recarte, umbes 7000 veinitootjat kogu euroopas esindava euroopa veinitootjate kaubandusühenduse „comité européen des entreprises vins” peasekretär, ei mõista õlletootjate muret. ta ütles euronewsile, et turg, mida domineerivad rahvusvahelised õlletootmise konglomeraadid, ei ole võrreldav turuga, mis koosneb peaaegu täielikult väikestest kodumaistest tootjatest.","enam kui 7000 euroopa veinitootjat esindava kaubandusassotsiatsiooni comité européen des entreprises vins peasekretär ignacio sanchez recarte on õlletootjate murede suhtes tõrjuv. ta ütles euronewsile, et rahvusvaheliste õllekonglomeraatide poolt domineeritud turg ei ole võrreldav turuga, mis koosneb peaaegu täielikult väikestest kodumaistest tootjatest.",en,et
@user4 @user3 @user5 @user6,@user4 @user3 @user5 @user6 @user7 @user8 @user9 @user10,@user4 @user3 @user5 @user6,en,et
"Judging by the state of our hospitals, the SNP's talk of recovery plans and action plans is simply that - talk, and dangerous talk at that. We must not allow incompetent politicians to lull us into complicity in the demise of that great British institution, the National Health Service.","arvestades meie haiglate olukorda, on snp kõnelus taastamiskavadest ja tegevuskavadest lihtsalt selline - kõnelus ja sellega kaasnev ohtlik kõnelus. me ei tohi lubada pädevatel poliitikutel panna meid kaasosaliseks selle suure briti institutsiooni, riikliku tervishoiuteenistuse, kadumises.","meie haiglate olukorra järgi otsustades jääb šoti rahvuspartei jutt päästekavadest ja tegevuskavadest lihtsalt jutuks, ja seejuures ohtlikuks jutuks. me ei tohi lasta ebapädevatel poliitikutel end uinutada ja teha kaassüüdlaseks suurepärase briti institutsiooni, riikliku tervishoiuteenistuse allakäigus.",en,et
🚨 breaking news:,► breaking news:,🚨 värsked uudised:,en,et
This song is encapsulates my predicament…,see laulu on kokkuvõte minu probleeme ...,see laul võtab kokku mu raske olukorra ...,en,et
Both the old and the new Listing titles call it a 12V 10W panel.,nii vanad kui ka uued nimekirja pealkirjad kutsuvad seda 12v 10w paneeli.,"mõlemad, nii vana kui ka uue kuulutuse pealkirjad nimetavad seda 12 v 10 w paneeliks.",en,et
"However, Tenuk and Kayel quickly realized they weren't alone. A second dark creature shot out from beneath them, and Tenuk only just managed to avoid a collision.","kuitenkin tenuk ja kayel ymmärsivät nopeasti, etteivät he ole yksin. toinen synkkä olenta ammui heidän alleen, ja tenuk onnistui vain välttämään törmäyksen.","tenuk ja kayel huomasivat kuitenkin pian, etteivät he olleet yksin. toinen musta olio nousi ilmaan heidän altaan, ja tenuk onnistui juuri ja juuri välttämään törmäyksen.",en,fi
