Model,Language,Source Sentence,Translation,Reference Sentence
alirezamsh/small100,cs,"Indeed, investment in environmental technologies in management should lead recovery efforts.",investice do environmentálních technologií v řízení by totiž měly vést k úsilí o obnovu.,úsilí o obnovu by mělo být vedeno investováním do environmentálních technologií v řízení.
alirezamsh/small100,cs,The results are there: the common fisheries policy has been a failure when it comes to conserving fishing stocks.,výsledky jsou tam: společná rybářská politika byla neúspěchem při zachování rybářských populací.,výsledky jsou následující: společná rybářská politika při zachování rybolovných zdrojů neuspěla.
alirezamsh/small100,cs,"(FR) Mr President, many speakers, starting with the President-in-Office of the Council, Mr Bernard Kouchner, deplore Russia's recognition of the independence of Abkhazia and South Ossetia.","(fr) pán předseda, mnoho mluvčí, počínaje předsedou rady bernardem kouchnerem, lituje uznání ruska nezávislosti abcházie a jižní osetie.","(fr) pane předsedající, mnozí řečníci, počínaje úřadujícím předsedou rady panem bernardem kouchnerem, neschvalují ruské uznání nezávislosti abcházie a jižní osetie."
alirezamsh/small100,cs,"On 7 October, the College and the Conference of Committee Chairs met in the Berlaymont.",7. října se kolegie a konference předsedů výborů setkali v berlaymont.,dne 7. října se proběhlo setkání kolegia komisařů a konference předsedů výborů v berlaymontu.
alirezamsh/small100,cs,Combating HIV/Aids within the EU and in the neighbouring countries 2006-2009 (vote),boj proti hiv/aids v eu a v sousedních zemích 2006-2009 (hlasování),"boj s hiv/aids uvnitř evropské unie a v sousedních zemích, 2006-2009 (hlasování)"
alirezamsh/small100,cs,"Salih Mahmoud Osman, you have our firm support and our warm acclaim.","salih mahmoud osman, máte naši pevnou podporu a naše teplé uznání.","salihu mahmoude osmane, máte naši pevnou podporu a naše srdečné uznání."
alirezamsh/small100,cs,"Unfortunately, Mr Ayral passed away rather suddenly.","bohužel, pan ayral zemřel poměrně náhle.",pan ayral nás bohužel opustil poněkud nečekaně.
alirezamsh/small100,cs,"The compromise reached is a step in the right direction, but is certainly not yet optimal.","dosáhlý kompromis je krok správným směrem, ale rozhodně ještě není optimální.","dosažený kompromis je krokem správným směrem, ale jistě ještě není optimální."
alirezamsh/small100,cs,Thank you.,děkuji. 🙂,děkuji vám.
alirezamsh/small100,cs,"On the contrary, even if they do not bring chaos to this issue, they do bring less light.","naopak, i když k tomuto problému nepřinášejí chaos, přinášejí méně světla.","tyto naopak vnášejí do celé problematiky když ne chaos, tak alespoň méně světla."
alirezamsh/small100,cs,New procedures have been introduced into customs legislation for the purpose of guaranteeing security and safety.,do celních právních předpisů byly zavedeny nové postupy pro zajištění bezpečnosti a bezpečnosti.,do celních právních předpisů byly zavedeny nové postupy k zajištění bezpečnosti a zabezpečení.
alirezamsh/small100,cs,"At this stage I am, however, concerned about Greece, from which we have not received any transposition measure yet.","v této fázi jsem však znepokojen řeckem, ze kterého jsme dosud nedostali žádná transpoziční opatření.","v této fázi jsem ovšem znepokojen situací v řecku, od nějž jsme dosud neobdrželi ani jediné prováděcí opatření."
alirezamsh/small100,cs,"I wish the delegation well as they go from this Parliament to the conference, but I also look forward to the report back that we will hear from all those who will attend.","přejím, že delegace půjde z tohoto parlamentu na konferenci, ale těším se také na zprávu zpět, kterou uslyšíme od všech, kteří se zúčastní.","přeji delegaci, která odjede na konferenci z tohoto parlamentu, mnoho zdaru, ale těším se také na zprávu o jejích výsledcích, kterou uslyšíme od všech, kdo se konference zúčastní."
alirezamsh/small100,cs,What do the Americans do?,co dělají američané?,co dělají američané?
alirezamsh/small100,cs,"Better governance of the euro area will come from the Ecofin Council being fully involved in matters of Economic and Monetary Union; it will come from a strengthening of the agenda and the debates of the Eurogroup, in particular in terms of the economic policy coordination I have already mentioned; and it will come from an even closer dialogue between the Commission and Parliament, and between the Eurogroup and Parliament.","lepší řízení eurozóny bude mít za následek, že rada ecofin bude plně zapojena do záležitostí hospodářské a měnové unie; bude mít za následek posílení agendy a debat euroskupiny, zejména pokud jde o koordinaci hospodářské politiky, kterou jsem již zmínil; bude mít za následek ještě bližšího dialogu mezi komisí a parlamentem a euroskupinou a parlamentem.","lepšího vládnutí v eurozóně dosáhneme, zapojí-li se do otázek hospodářské a měnové unie v plném rozsahu také rada ve složení pro hospodářské a finanční věci, zesílíme-li agendu a diskuse o euroskupině, zejména v souvislosti s koordinací hospodářské politiky, o které jsem se již zmínil, a bude-li dialog mezi komisí a parlamentem a mezi euroskupinou a parlamentem ještě užší."
alirezamsh/small100,da,"Enlargement could not, except by deliberately sacrificing the balances too painfully achieved over the years, translate into a transfer from the countries of cohesion towards the candidates for membership, without coming up with other systems for the regions with the weakest incomes.","udvidelsen kunne ikke, undtagen ved bevidst at ofre de balancer, der er opnået for smertefuldt gennem årene, oversætte til en overførsel fra samhørighedslande til ansøgere om medlemskab, uden at der oprettes andre systemer for de regioner med de laveste indtægter.","medmindre man med fuldt overlæg ofrer den balance, der er opnået med så stort besvær igennem årene, kan udvidelsen ikke gennemføres ved en overførsel fra samhørighedslandene til ansøgerlandene, uden at man forestiller sig andre systemer for de lønmæssigt svagest stillede regioner."
alirezamsh/small100,da,"Therefore, all I can tell you is that the only instrument at a European level that can prick the consciences of the Member States is this Parliament, and so I encourage you to put forward a motion or a parliamentary resolution to get this subject on the table, so it can be a wake-up call for the Member States' governments.","det eneste, jeg kan fortælle dig, er derfor, at det eneste instrument på europæisk plan, der kan få medlemsstaternes samvittighed, er dette parlament, og derfor opfordrer jeg dig til at fremsætte et forslag eller en parlamentarisk beslutning for at sætte emnet på bordet, så det kan være en vækkeopfordring for medlemsstaternes regeringer.","derfor kan jeg kun sige til dem, at det eneste instrument på europæisk plan, der kan vække medlemslandenes forståelse, er europa-parlamentet, og jeg opfordrer det derfor til at fremme et forslag eller en beslutning herom, at det får dette spørgsmål på bordet, at det bliver en opfordring til medlemslandenes regeringer."
alirezamsh/small100,da,"on behalf of the ALDE Group. - (FR) Mr President, ladies and gentlemen, if there is one area in which all Europeans expect effective Community responses, it is that of large-scale natural disasters.","på vegne af alde-gruppen. - (fr) herre formand, damer og herrer, hvis der er et område, hvor alle europæere forventer effektive fællesskabets svar, er det et område, hvor der er store naturkatastrofer.","hr. formand, mine damer og herrer! hvis der er et område, på hvilket alle europæere forventer en effektiv fællesskabsreaktion, er det i forbindelse med store naturkatastrofer."
alirezamsh/small100,da,"The remaining Member States have not yet notified their national plans to the Commission. However, ten of them are already available as preliminary plans within the framework of public consultation.","de resterende medlemsstater har endnu ikke meddelt kommissionen deres nationale planer, men ti af dem er dog allerede tilgængelige som foreløbige planer inden for rammerne af offentlig høring.","de øvrige medlemsstater har endnu ikke forelagt deres nationale planer for kommissionen, men 10 af dem er allerede tilgængeligesom foreløbige planer inden fra rammerne af den offentlige høring."
alirezamsh/small100,da,"Personally, I would like it to be prepared earlier - maybe in the spring.",personligt vil jeg gerne have det forberedt tidligt - måske i foråret.,"personligt så jeg gerne, at det blev udarbejdet tidligere - måske i foråret."
alirezamsh/small100,da,I therefore invite Commissioner Monti to take the floor first to respond to Question No 29. I should also like to take this opportunity to welcome him and wish him well for this year.,jeg inviterer derfor kommissær monti til at tage gulvet først for at besvare spørgsmål nr. 29. jeg vil også gerne tage denne mulighed for at byde ham velkommen og ønske ham godt i år.,"derfor beder jeg kommissær monti, som jeg byder velkommen og ønsker alt godt i det nye år, om at besvare spørgsmål nr. 29."
alirezamsh/small100,da,A success story for them but hardly for Europe!,"en succeshistorie for dem, men næppe for europa!","en succeshistorie for dem, men ikke for europa!"
alirezamsh/small100,da,"Whilst one welcomes the statements of Yassir Arafat that he has no intention of using violence to achieve his ends, one does see a continuation of violence.","mens man glæder sig over yassir arafats erklæringer om, at han ikke har til hensigt at bruge vold til at nå sine mål, ser man en fortsættelse af vold.","selvom vi glæder os over yassir arafats udtalelser om, at han ikke vil bruge vold for at nå sine mål, ser vi alligevel, at volden fortsætter."
alirezamsh/small100,da,°°°,•°°,°°°
alirezamsh/small100,da,"In other words, it resides within the European Council, the Council of Ministers and the national parliaments.","med andre ord er det hjemmehørende inden for det europæiske råd, ministerrådet og de nationale parlamenter.","den findes altså i det europæiske råd, i ministerrådet og i de nationale parlamenter."
alirezamsh/small100,da,I give the floor to Mrs Ferrero-Waldner to answer Mr Valverde Lopez's question.,jeg giver gulvet til fru ferrero-waldner for at svare på mr. valverde lopez' spørgsmål.,"fru formand for rådet, jeg beder dem besvare hr. valverde lópez' spørgsmål."
alirezamsh/small100,da,"A4-0181/97 by Mr Christodoulou, on behalf of the Committee on Economic and Monetary Affairs and Industrial Policy on: I. the recommendation for second reading on the common position adopted by the Council with a view to adopting a Council Regulation on the strengthening of the surveillance of budgetary positions and the surveillance and coordination of economic policies (C4-0174/97-96/0247(SYN)) and II. the report on the proposal for a Council regulation on speeding up and clarifying the implementation of the excessive deficit procedure (6931/2/97 - C4-0577/96-96/0248(CNS)) and - A4-0184/97 by Mrs Randzio-Plath, on behalf of the Committee on Economic and Monetary Affairs and Industrial Policy, on the economic policy of the Member States of the Community (COM(97)0168 - C4-0190/97)","a4-0181/97 af christodoulou, på vegne af udvalget om økonomiske og monetære anliggender og industripolitik om: i. henstilling til andenbehandlingen om den fælles holdning, som rådet vedtog med henblik på vedtagelse af rådets forordning om styrkelse af overvågningen af budgetpositioner og overvågningen og koordineringen af økonomiske politikker (c4-0174/97-96/0247(syn)) og ii. betænkning om forslaget til rådets forordning om fremskyndelse og præcisering af gennemførelsen af proceduren for overdreven underskud (6931/2/97 - c4-0577/96-96/0248(cns)) og - a4-0184/97 af randzio-plath, på vegne af udvalget om økonomiske og monetære og industripolitik, om den økonomiske politik i fællesskabet (com(97)0168 - c4-0190/97)","a4-0181/97 af christodoulou for udvalget om økonomi, valutaspørgsmål og industripolitik om: i.indstilling ved andenbehandling om rådets fælles holdning fastlagt med henblik på vedtagelse af rådets forordning om styrkelse af overvågningen af budgetstillinger samt overvågning og samordning af økonomiske politikker (c4-0174/97-96/0247(syn)) og ii. betænkning om forslag til rådets forordning om fremskyndelse og afklaring af gennemførelsen af proceduren i forbindelse med uforholdsmæssigt store underskud (6931/2/97 - c4-0182/97-96/0248(cns)) og-betænkning (a4-0184/97) af randzio-plath for udvalget om økonomi, valutaspørgsmål og industripolitik om kommissionens henstilling om de overordnede retningslinjer for 1997 for medlemsstaterne og fællesskabets økonomiske politikker (kom(97)0168 - c4-0190/97)."
alirezamsh/small100,da,"That is, in fact, the political basis for the situation we have today.","det er faktisk det politiske grundlag for den situation, vi har i dag.","det er den reelle politiske begrundelse for den situation, vi har nu."
alirezamsh/small100,da,"The most important factor here is the political will demonstrated by Croatia, which has declared its determination to implement all the provisions and criteria for membership.","den vigtigste faktor her er kroatiens politiske vilje, som har erklæret sin beslutning om at gennemføre alle bestemmelser og kriterier for medlemskab.","den vigtigste faktor er her den politiske vilje, der udvises af kroatien, som har erklæret sin vilje til at gennemføre alle betingelser og kriterier for medlemskab."
alirezamsh/small100,da,"Since then, nothing has moved on Israeli government side.",siden da har der ikke været noget fra den israelske regering.,i mellemtiden har den israelske regering ikke bevæget sig ud af stedet.
alirezamsh/small100,da,This is the crux of the matter.,det er kernen i sagen.,det er det afgørende i sagen.
alirezamsh/small100,da,"Mr President, I, too, congratulate Michael Gahler on a well-balanced, excellent report.","jeg glæder mig også til michael gahler over en god, velbalanceret rapport.",(en) hr. formand! jeg gratulerer også hr. gahler med en afbalanceret og glimrende betænkning.
alirezamsh/small100,da,"This came as a long-awaited sign, bringing some relief to our hard-pressed farmers.","dette kom som et længe ventet tegn, hvilket bringer en vis lettelse til vores hårdt pressede landmænd.","dette kom som et længe ventet tegn, der bringer nogen lettelse til vores hårdt trængte landmænd."
alirezamsh/small100,da,They thought they were drafting a recommendation there that would guarantee access to the gas transmission markets on a voluntary basis.,"de mente, at de havde udarbejdet en henstilling der ville garantere adgang til gastransmissionsmarkederne på frivillig basis.","de troede, de udarbejdede et udkast til en anbefaling, som skulle garantere adgang til gastransmissionsmarkedet på frivillig basis."
alirezamsh/small100,da,"We have not waited for the natural implementation of the Marrakesh agreement, which would have come too late in the fishing season for bluefin tuna.","vi har ikke ventet på den naturlige gennemførelse af marrakesh-aftalen, som ville have været for sent i fiskesæsonen for blåfin tun.","vi har ikke ventet på en naturlig gennemførelse af marrakeshaftalen, der ville være kommet for sent i fangstperioden for almindelig tun."
alirezamsh/small100,nl,"What is the dissemination for the new ideas, the new products, the new comparisons of socio-economic systems?","wat is de verspreiding van nieuwe ideeën, nieuwe producten, nieuwe vergelijkingen van sociaal-economische systemen?","hoe en onder wie worden de nieuwe ideeën, de nieuwe producten, de nieuwe vergelijkingen van sociaal-economische systemen verbreid?"
alirezamsh/small100,nl,Nor can it form the basis for a common policy.,het kan ook niet de basis vormen voor een gemeenschappelijk beleid.,het kan evenmin de basis voor een gemeenschappelijk beleid vormen.
alirezamsh/small100,nl,We are taking a responsible attitude and I am delighted that we have unanimity round the Chamber this evening.,we nemen een verantwoordelijke houding en ik ben blij dat we vanavond eenparigheid in de kamer hebben.,wij nemen een verantwoordelijke houding aan en ik ben zeer verheugd over de eensgezindheid die vanavond in het gehele parlement heerst.
alirezamsh/small100,nl,The cooperation model is paramount.,het samenwerkingsmodel is voornaamste.,het samenwerkingsmodel staat daarbij voorop.
alirezamsh/small100,nl,"If we take a step back and assess the work done during this parliamentary term, I believe that we can all be proud of it.","als we een stap terug nemen en het werk beoordelen die we tijdens deze parlementaire termijn hebben gedaan, geloof ik dat we er allemaal trots kunnen zijn.","als we voorzichtig het saldo opmaken van deze wetgevingsperiode, dan kunnen we daar volgens mij allemaal trots op zijn."
alirezamsh/small100,nl,"Madam President, ladies and gentlemen, today, we are discussing the interim review of a successful programme to aid economic recovery in the energy sector.","mevrouw president, dames en heren, vandaag bespreken we de voorlopige evaluatie van een succesvol programma om de economische herstel in de energiesector te helpen.","mevrouw de voorzitter, dames en heren, wij bespreken vandaag het tussentijdse verslag van een succesvol programma ter ondersteuning van het economisch herstel in de energiesector."
alirezamsh/small100,nl,There is still no secure knowledge about the use of biometric fingerprints from children under the age of 12.,er is nog geen veilige kennis over het gebruik van biometrische vingerafdrukken bij kinderen jonger dan 12 jaar.,er is nog steeds geen betrouwbare kennis over het gebruik van biometrische vingerafdrukken van kinderen onder de twaalf jaar.
alirezamsh/small100,nl,I would like to point out that I agree with Members on the need to reform the directive.,ik wil graag benadrukken dat ik met de leden het eens ben over de noodzaak van hervorming van de richtlijn.,ik heb hiermee duidelijk willen maken hoe ingewikkeld het begonnen proces is.
alirezamsh/small100,nl,"Mr President, I am speaking in place of Mrs Barthet-Mayer who was due to make this speech but is unable to for health reasons.","mijnheer president, ik spreek in plaats van mevrouw barthet-mayer, die deze toespraak moest doen, maar niet in staat is om gezondheidsredenen.","mijnheer de voorzitter, ik vervang mevrouw barthet-mayer die dit betoog eigenlijk had moeten houden, maar dit om gezondheidsredenen niet kan doen."
alirezamsh/small100,nl,"We believe it to be correct and we hope that it is not changed for the worse by certain amendments, which would oblige us to vote against the final text.","we geloven dat het juist is en we hopen dat het niet wordt veranderd voor het ergste door bepaalde amendementen, die ons zouden dwingen tegen de definitieve tekst te stemmen.","wij vinden dit een degelijk verslag en hopen dat het niet door bepaalde amendementen wordt uitgehold, hetgeen ons zou nopen tegen de uiteindelijke tekst te stemmen."
alirezamsh/small100,nl,"Otherwise, there will be a blatant clash of citizens' interests.",anders zal er een groot conflict tussen de belangen van de burgers zijn.,"gebeurt dat niet, dan zullen de belangen van verschillende groepen burgers met elkaar in botsing komen."
alirezamsh/small100,nl,"However, we are moving towards the inefficiency which results from overloading the WTO rules with objectives other than the principle objective of trade liberalisation and non-discrimination against contracting parties.",we gaan echter naar de inefficiëntie die voortvloeit uit het overbelasten van de wto-regels met andere doelen dan het principe van liberalisering van de handel en niet-discriminatie tegen overeenkomstsluitende partijen.,"wij verzetten ons echter tegelijkertijd tegen een tot inefficiëntie leidende overbelasting van de wto-regelgeving met andere doelstellingen dan handelsliberalisering en niet-discriminatie van verdragsluitende partijen, wat ons hoofddoel is."
alirezamsh/small100,nl,European companies are not really European companies any more. They have investments in the United States and companies like Boeing have investments in Europe.,europese bedrijven zijn niet echt europese bedrijven meer. ze hebben investeringen in de verenigde staten en bedrijven zoals boeing hebben investeringen in europa.,"europese bedrijven zijn natuurlijk geen echt europese bedrijven meer; ze investeren in de verenigde staten, net zoals amerikaanse bedrijven als boeing in europa investeren."
alirezamsh/small100,nl,"If you increase the percentage of shark fins that can be landed, the chances of increasing the number of sharks caught and of finning are greater.","als je verhoogt het percentage haaien die kunnen worden geland, zijn de kansen om het aantal gevangen haaien te verhogen en te vinden groter.","door het percentage haaienvinnen dat aan wal mag worden gebracht te verhogen, neemt ook het risico toe dat er meer haaien worden gevangen en gevind."
alirezamsh/small100,nl,"Only when corruption has genuinely been eradicated in European countries should we try reverting to the imperious recommendations granted to various countries in the resolutions adopted, unfortunately, by us.","alleen wanneer corruptie in europese landen echt is uitgeroeid, moeten we proberen terug te keren naar de imperiële aanbevelingen die aan verschillende landen worden gegeven in de resoluties die helaas door ons zijn aangenomen.","en als de corruptie in de europese lidstaten echt is uitgeroeid, laten we dan proberen de keizerlijke orders opnieuw in te voeren. die kunnen we dan in onze resoluties uitdelen aan uiteenlopende landen."
alirezamsh/small100,nl,The review of the eco-management and audit scheme (ΕΜΑS) gives organisations and companies throughout the world the ability to manage the environmental impact of their activities more effectively.,de evaluatie van het emas-systeem geeft organisaties en bedrijven over de hele wereld de mogelijkheid om de milieueffecten van hun activiteiten doeltreffender te beheren.,"de herziening van het communautair milieubeheer- en milieuauditsysteem, emas, biedt agentschappen en ondernemingen in heel de wereld de mogelijkheid om de milieugevolgen van allerlei activiteiten efficiënter te beheren."
alirezamsh/small100,nl,"Agricultural aid does not encourage over-production, because it is not connected to the volume of production and is based on surface area and number of livestock.","landbouwsteun bevordert geen overproductie, aangezien het niet verbonden is met het volume van de productie en is gebaseerd op het oppervlak en het aantal dieren.","landbouwsubsidie draagt niet bij tot overproductie, omdat ze is losgekoppeld van het productieniveau en gebaseerd is op arealen en de hoeveelheid vee."
alirezamsh/small100,nl,I am going to refer primarily to the Commission communication on the future for the market in fisheries products in the European Union.,ik zal vooral verwijzen naar de mededeling van de commissie over de toekomst van de markt voor visserijproducten in de europese unie.,ik zal mij vooral concentreren op de mededeling van de commissie over de toekomst van de markt voor visserijproducten in de europese unie.
alirezamsh/small100,nl,"I believe that if we continue the discussion, and the Commission's efforts, with due responsibility, we can make progress in the future.","ik geloof dat als we het debat voortzetten en de inspanningen van de commissie, met de juiste verantwoordelijkheid, in de toekomst vooruitgang kunnen maken.","ik ben ervan overtuigd dat we, als we de discussie voortzetten en als de commissie zich blijft inspannen, in de toekomst met de benodigde verantwoordelijkheid vooruitgang kunnen boeken."
alirezamsh/small100,nl,"However, I do not wish to go into that.",maar ik wil daar niet mee gaan.,maar laat ik daar niet op ingaan.
alirezamsh/small100,et,"After all, there are excessive differences within the EU at present, with some countries having no minimum income at all.","lõppude lõpuks on elis praegu liiga palju erinevusi, kusjuures mõned riigid ei ole üldse minimaalset sissetulekut.","praegu on elis liiga suured erinevused, sest mõnes liikmesriigis ei ole miinimumsissetulekutki."
