Model Name,Dataset,Language,Source Sentence,Translation,Reference Sentence
Helsinki-NLP/opus-mt-tc-big-en-gmq,Europarl,sv,"But there should be regulation, a European framework, as the problems cross national borders and this issue is also part of the working of the internal market.","Men det bör finnas en reglering, en europeisk ram, eftersom problemen går över nationsgränserna och denna fråga också är en del av den inre marknadens funktion.","Det måste dock finnas regler, en europeisk ram, eftersom problemen är gränsöverskridande och eftersom dessa problem även gäller den inre marknaden."
Helsinki-NLP/opus-mt-tc-big-en-gmq,Europarl,sv,Liberals and Democrats will back your presidency and your drive for better regulation.,Liberaler och demokrater kommer att stödja ert ordförandeskap och er strävan efter bättre lagstiftning.,Liberaler och demokrater kommer att stödja ert ordförandeskap och er strävan efter bättre och enklare lagstiftning.
Helsinki-NLP/opus-mt-tc-big-en-gmq,Europarl,sv,"The same law of the marketplace which acts against the dignity of citizens and workers in our own countries, has transformed other countries, in Europe and the Third World alike, into booty and merchandise.","Samma marknadslag, som strider mot medborgarnas och arbetarnas värdighet i våra egna länder, har förvandlat andra länder, både i Europa och i tredje världen, till byte och varor.","Marknadens lag själv, vilken ställer sig mot våra egna länders medborgares och arbetares värdighet, har omvandlat vissa andra länder, i Europa och tredje världen, till bytes- och handelsvara."
Helsinki-NLP/opus-mt-tc-big-en-gmq,Europarl,sv,"The European Union must show its support for Pakistan and help to minimise the devastating effects of the floods, as it has done through its policy of humanitarian aid and international cooperation when other tragic events have occurred.","Europeiska unionen måste visa sitt stöd för Pakistan och bidra till att minimera de förödande effekterna av översvämningarna, som den har gjort genom sin politik för humanitärt bistånd och internationellt samarbete när andra tragiska händelser har inträffat.","EU måste visa sitt stöd för Pakistan och hjälpa till att minimera översvämningarnas förödande effekter, vilket unionen har gjort genom sin politik för humanitärt bistånd och internationellt samarbete när andra tragiska händelser har inträffat."
Helsinki-NLP/opus-mt-tc-big-en-gmq,Europarl,sv,"Why not establish a centre of excellence in Poland to speed up the use of biomass in the whole of Eastern Europe, in combination with heat networks?","Varför inte inrätta ett kompetenscentrum i Polen för att påskynda användningen av biomassa i hela Östeuropa, i kombination med värmenät?","Varför inte upprätta ett expertcentrum i Polen för att skynda på användningen av biomassa i hela Östeuropa, i kombination med uppvärmningsnät?"
Helsinki-NLP/opus-mt-tc-big-en-gmq,Europarl,sv,It is good that there have been improvements to the Food Safety Authority in terms of both time and resources.,Det är bra att det har skett förbättringar för Livsmedelssäkerhetsmyndigheten både vad gäller tid och resurser.,"Det är bra att det har blivit förbättringar för livsmedelsmyndigheten, beträffande både tid och resurser."
Helsinki-NLP/opus-mt-tc-big-en-gmq,Europarl,sv,I hope that it will constitute a good start to more intensive cooperation in many fields within the EU.,Jag hoppas att det kommer att utgöra en bra start på ett mer intensivt samarbete på många områden inom EU.,Jag hoppas att det kan bli en bra start på ett mer intensivt samarbete på många områden i EU.
Helsinki-NLP/opus-mt-tc-big-en-gmq,Europarl,sv,"It is therefore shameful that in the country that is to host the Olympics in a few months' time, people are being shot at and those who wish to express publicly their aspirations as citizens are being killed.",Det är därför skamligt att människor skjuts på i det land som ska vara värd för de olympiska spelen om några månader och att de som vill uttrycka sina ambitioner offentligt dödas.,Det är därför skamligt att man i landet som står värd för de olympiska spelen om några månader skjuter på folk och dödar dem som offentligt uttrycker sina åsikter som medborgare.
Helsinki-NLP/opus-mt-tc-big-en-gmq,Europarl,sv,"Amendment No 69 is a correction to Amendment No 41, presented by the rapporteur, Mrs Paciotti, in consultation with the Commission and the Council Presidency, with a view to safeguarding the Commission' s right of initiative.","Ändringsförslag 69 är en rättelse av ändringsförslag 41, som lagts fram av föredraganden, Paciotti, i samråd med kommissionen och rådets ordförandeskap, i syfte att skydda kommissionens initiativrätt.",Ändringsförslag 69 utgör en ändring av ändringsförslag 41. Det har lagts fram av föredragande Paciotti i samförstånd med kommissionen och rådets ordförandeskap för att bevara kommissionens initiativrätt.
Helsinki-NLP/opus-mt-tc-big-en-gmq,Europarl,sv,I ask you therefore: to what do we owe this huge reduction in the Community contribution?,Jag frågar er därför: Vad är vi skyldiga denna enorma minskning av gemenskapens bidrag?,Därför frågar jag er vad denna stora minskning av gemenskapsbidrag beror på?
Helsinki-NLP/opus-mt-tc-big-en-gmq,Europarl,sv,a political solution must bring about the return of those who have been displaced and it must in particular ensure that we do not have another ten years of nationalist madness in the Balkans with hundreds of thousands of more deaths.,"En politisk lösning måste leda till att de som har fördrivits får återvända, och den måste särskilt se till att vi inte får ytterligare tio år av nationalistisk galenskap på Balkan med hundratusentals fler döda.","Syftet med en politisk lösning måste vara att de fördrivna skall kunna återvända, och i synnerhet att förhindra tio år till med ett nationalistiskt vansinne på Balkan med ytterligare hundratusentals döda."
Helsinki-NLP/opus-mt-tc-big-en-gmq,Europarl,sv,"If so, what was the outcome?","Om så är fallet, vad blev resultatet?","Om ja, vilka blev resultaten av detta möte?"
Helsinki-NLP/opus-mt-tc-big-en-gmq,Europarl,sv,"In light of the tendency towards trade globalisation, the unlawful appropriation of designations of origin belonging to high-quality European products and the unfair competition due to cheap labour, this internal and external commitment to promoting agricultural products is particularly pertinent.","Mot bakgrund av tendensen till globalisering av handeln, det olagliga tillägnandet av ursprungsbeteckningar som tillhör europeiska produkter av hög kvalitet och den illojala konkurrensen på grund av billig arbetskraft, är detta interna och externa åtagande att främja jordbruksprodukter särskilt relevant.","Mot bakgrund av att handeln blir alltmer globaliserad, att ursprungsbeteckningar som är avsedda för europeiska produkter av hög kvalitet används orättmätigt och att illojal konkurrens uppstår på grund av billig arbetskraft är denna satsning både inom och utanför EU på att främja jordbruksprodukter extra viktig."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,sv,"However, Tenuk and Kayel quickly realized they weren't alone. A second dark creature shot out from beneath them, and Tenuk only just managed to avoid a collision.","Men Tenuk och Kayel insåg snabbt att de inte var ensamma. En andra mörk varelse sköt ut under dem, och Tenuk lyckades bara undvika en kollision.",Dock insåg Tenuk och Kayel snabbt att de inte var ensamma. En andra mörk varelse dök upp underifrån och Tenuk lyckades precis undvika en kollision.
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,sv,"Tenuk hesitated, then stepped back, giving himself some space. With a low, slightly pained grunt, Tenuk's body stretched out, his fur replaced with scales and his arms replaced with wings. He quickly turned himself into a normal, light blue Thraki, but his eyes remained red.","Tenuk tvekade, steg sedan tillbaka och gav sig själv lite utrymme. Med en låg, lätt smärtad grymt sträcktes Tenuks kropp ut, hans päls ersattes med fjäll och hans armar ersattes med vingar. Han förvandlade sig snabbt till en normal, ljusblå Thraki, men hans ögon förblev röda.","Tenuk tvekade och tog sedan ett steg tillbaka, för att ge sig själv lite utrymme. Med ett lågt, något smärtfyllt stön, sträcktes Tenuks kropp ut, hans päls ersattes med fjäll och hans armar ersattes med vingar. Han förvandlade sig snabbt till en normal ljusblå Thraki, men hans ögon förblev röda."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,sv,"They wondered if she would actually let them enter, unlike the previous times they went to ask. I still have a bruise from the last time. Ivory chuckled from the memory. Kari had thrown a book at their shoulder, but when she saw who it was, she apologized immediately.","De undrade om hon verkligen skulle låta dem komma in, till skillnad från de tidigare gångerna de gick för att fråga. Jag har fortfarande ett blåmärke från förra gången. Elfenben chuckled från minnet. Kari hade kastat en bok på deras axel, men när hon såg vem det var, bad hon omedelbart om ursäkt.","De undrade om hon verkligen skulle släppa in dem, till skillnad från de tidigare gångerna när de kom för att fråga. Jag har fortfarande ett blåmärke från förra gången. Ivory skrockade åt minnet. Kari hade kastat en bok på deras axel, men när hon såg vem det var, bad hon om ursäkt omedelbart."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,sv,"The ESP didn't go online immediately, let's give it a few minutes.","ESP gick inte online omedelbart, låt oss ge det några minuter.","ESP anslöt inte direkt, vi väntar ett par minuter."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,sv,"Ignacio Sánchez Recarte, secretary general of the Comité Européen des Entreprises Vins trade association representing some 7,000 wine producers across Europe, is dismissive of the concerns of the beer makers. He told Euronews that a market dominated by multinational brewing conglomerates bears no comparison with one comprised almost entirely of small, domestic producers.","Ignacio Sánchez Recarte, generalsekreterare för branschorganisationen Comité Européen des Entreprises Vins, som företräder omkring 7 000 vinproducenter i Europa, avfärdar öltillverkarnas farhågor. Han sade till Euronews att en marknad som domineras av multinationella bryggerikonglomerat inte kan jämföras med en marknad som nästan uteslutande består av små inhemska producenter.",Ignacio Sánchez Recarte avfärdar öltillverkarnas oro. Han är generalsekreterare för branschorganisationen Comité Européen des Entreprises Vins som representerar 7 000 vintillverkare i Europa. Vidare förklarade han för Euronews att en marknad som domineras av multinationella bryggerikonglomerat inte kan jämföras med en som nästan enbart består av små inhemska producenter.
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,sv,@user4 @user3 @user5 @user6,@user4 @user3 @user5 @user6,@användare4 @användare3 @användare5 @användare6
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,sv,"Judging by the state of our hospitals, the SNP's talk of recovery plans and action plans is simply that - talk, and dangerous talk at that. We must not allow incompetent politicians to lull us into complicity in the demise of that great British institution, the National Health Service.","Att döma av tillståndet på våra sjukhus är SNP: s tal om återhämtningsplaner och handlingsplaner helt enkelt det - prat, och farligt prat på det. Vi får inte låta inkompetenta politiker invagga oss i delaktighet i nedläggningen av den stora brittiska institutionen, National Health Service.","Av att döma av tillståndet på våra sjukhus är SNP.s prat om återhämtnings- och handlingsplaner bara just det – prat, och det är farligt prat. Vi får inte låta inkompetenta politiker vagga oss in i medverkan till bortfallet av denna fantastiska brittiska institution, National Health Service."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,sv,🚨 breaking news:,breaking news:,🚨 senaste nytt:
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,sv,This song is encapsulates my predicament…,Den här låten sammanfattar min situation...,Den här låten sammanfattar min besvärliga situation ...
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,sv,Both the old and the new Listing titles call it a 12V 10W panel.,Både den gamla och den nya Listing-titlarna kallar den för en 12V 10W-panel.,I både den gamla och den nya listan har den benämningen 12V 10W-panel.
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,sv,"Isn’t that funny? We have half the manpower left, and we can’t even refrain from hurting one another. I hastily sped up, Al’s was around the corner, so I would be fine inside. A glance behind me ensured that I was no longer being tailed as I stood in front of a bright glowing sign that read, “Alborn’s Pawnshop!” With slower steps, I entered once again–this place was more under the cover, as Alborn would often take in people who’d been mutated and snuck into Paltricus. Upon opening the door, the lights had been shut off, interestingly enough–there was no Al. No refugees. Nothing. Something wasn’t right here.","Är inte det roligt? Vi har hälften av arbetskraften kvar, och vi kan inte ens avstå från att skada varandra. Jag skyndade snabbt upp, Al var runt hörnet, så jag skulle inte vara bra inuti. En blick bakom mig såg till att jag inte längre var svansad som jag stod framför en ljus glödande skylt som läste: ""Alborns Pawnshop var flyktingar!"" Med långsammare steg gick jag in igen. Det här stället var mer","Är det inte lustigt? Hälften av mänskligheten finns kvar, och vi kan inte ens sluta att göra varandra illa. Jag ökade farten, Als ställe var precis runt hörnet, så jag skulle vara säker därinne. En snabb blick bakåt försäkrade mig om att jag inte var förföljd längre när jag stod framför en starkt upplyst skylt med texten ""Alborns pantbank!"". Med långsammare steg gick jag in åter en gång - detta stället hölls ganska hemligt, eftersom Alborn ofta släppte in människor som hade muterats och smitit in i Paltricus. När jag öppnade dörren var lamporna släckta och intressant nog - ingen Al. Inga flyktingar. Ingenting. Det var något som inte stämde här."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,sv,These good quality stickers are about 50p each. They'll cost the same again to post. And way more in my own time to individually package and send them.,Dessa klistermärken av god kvalitet är ca 50p vardera. De kommer att kosta samma igen för att posta. Och mycket mer i min egen tid att individuellt paketera och skicka dem.,De här dekalerna som är av bra kvalitet kostar ungefär 50 pence styck. De kostar lika mycket att skicka med post. Och mycket mer av min egen tid att paketera var och en och skicka dem.
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,sv,So the challenges in this are already showing themselves. I'm likely going to have a VERY difficult time getting a medical clearance due to the FAA's stance on certain medications.,Så utmaningarna i detta är redan visar sig. Jag kommer sannolikt att ha en mycket svår tid att få en medicinsk clearance på grund av FAA: s inställning till vissa mediciner.,Så utmaningarna för detta har redan börjat visa sig. Det kommer troligen att vara VÄLDIGT svårt för mig att få ett läkarintyg på grund av FAA:s hållning när det gäller vissa läkemedel.
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,sv,And just under the wire basically someone actually beat Trimming the Herbs! Really impressive.,Och precis under tråden slog någon faktiskt Trimming the Herbs! Verkligen imponerande.,Och i sista sekunden lyckades någon faktiskt klara Trimming The Herbs! Verkligen imponerande.
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,sv,Yea so I flew this today.,"Yeah, den här har jag flugit idag.",Så jag flög det här idag.
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,sv,"So my dad can't give me rides to work. And for me, work is about 27 miles away. So there and back would be nearly a $100 a day with Uber. I haven't looked at Lyft. I could have, I guess, that makes sense. But I didn't have rental on my auto insurance, so that's my fault. So I guess I could have tried to do that and get that set up and tried to get a rental while I was down and out of a car. But even then, a rental wouldn't cover seven days. I'm going to sneeze, hold on. That sneeze sucked.","Så min pappa kan inte ge mig åka till jobbet. Och för mig är jobbet cirka 27 miles away. Så det och tillbaka skulle vara nästan $ 100 per dag med Uber. Jag har inte tittat på Lyft. Jag antar att det är vettigt. Men jag hade inte hyra på min bilförsäkring, så det är mitt fel. Så jag antar att jag kunde ha försökt att göra det och få det att sätta upp och försökte få en hyra ut.","Så min pappa kan inte skjutsa mig till jobbet. Och för mig är det omkring 27 miles till jobbet. Så fram och tillbaka skulle innebära nästan $100 per dag med Uber. Jag har inte tittat på Lyft. Det kunde jag ha gjort, antar jag, det vore vettigt. Men hyrbil ingick inte i min bilförsäkring, så det är mitt fel. Så jag antar att jag kunde ha försökt att göra det och få det arrangerat och försökt att få tag på en hyrbil medan jag var utan bil. Men även om jag gjorde det skulle en hyrbil inte täcka sju dagar. Jag måste nysa, ett ögonblick. Det där var världens sämsta nysning."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,sv,Saturday Cont:,Lördag Cont:,Lördag forts:
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,sv,"Rosendale, a member of the hard-right Freedom Caucus, was one of the individuals who derailed the Wednesday votes. He views the top line number in Johnson's deal as being too high and as doing too little to cut the $34 trillion national debt.","Rosendale, en medlem av den hårda högern Freedom Caucus, var en av de individer som spårade onsdagsrösterna. Han ser topplinjen i Johnsons affär som för hög och som gör för lite för att minska statsskulden på 34 biljoner dollar.","Rosendale, en medlem av extremhögerns Freedom Caucus, var en av de personer som blockerade onsdagens omröstningar. Han tycker att den totala siffran i Johnsons uppgörelse är för hög och att det görs för lite för att minska statsskulden som uppgår till 34 biljoner dollar."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,sv,"South Wales four-piece The Now are proud to release their debut album, Too Hot To Handle, via True Music, and Callum joins me now. How are you doing, Callum? How's it going? Yeah, all good. Good, yourself? Yes, I'm very good. Thank you. It's a privilege to speak to yourselves because I've been listening to your music quite a lot since 2023. So I'm just loving the music, and I think it's something that we definitely need in the charts these days.","South Wales fyrdelade The Now är stolta över att släppa sitt debutalbum, Too Hot To Handle, via True Music, och Callum går med mig nu. Hur mår du, Callum? Hur går det? Ja, allt bra. Bra, själv? Ja, jag är väldigt bra. Tack. Det är ett privilegium att prata med er eftersom jag har lyssnat på er musik ganska mycket sedan 2023. Så jag tycker bara att vi älskar musiken.","The Now, kvartetten från södra Wales, är stolta över att släppa sitt debutalbum Too Hot To Handle via True Music och jag har Callum med på tråden nu. Hur är läget, Callum? Hur går det? Ja, bara bra. Bra, och du själv? Jadå, allt är bra. Tack. Det är ett privilegium att prata med dig, för jag har lyssnat på er musik ganska mycket sedan 2023. Jag bara älskar musiken och jag anser att det är något som vi verkligen behöver på listorna i dagsläget."
Helsinki-NLP/opus-mt-tc-big-en-gmq,WMT,sv,"The results are in and, drum roll, please, it's completely consistent with my family history. 89.9% British and Irish with most of that concentrated in the scottish borders, western Ireland, Wales, and cornwall. It doesn't show much breton tho so either they're so close to cornish they don't show as different in me or my breton family wasn't originally from there.","Resultaten är i och, trumma rulla, tack, det är helt förenligt med min familjs historia. 89,9% brittiska och irländska med det mesta koncentrerat i de skotska gränserna, västra Irland, Wales, och cornwall. Det visar inte mycket breton tho så antingen de är så nära cornish de inte visa så olika i mig eller min breton familj var inte ursprungligen därifrån.","Här kommer resultaten och, en trumvirvel om jag får be, det är helt överensstämmande med min familjs histora. 89,9 % brittisk och irländsk till mestadels koncentrerat kring de skotska gränserna, västra Irland, Wales och Cornwall. Det visar dock inte hur mycket breton, så antingen är de så nära det korniska folket att de inte visar sig som olika i mig eller så var min bretonska familj ursprungligen inte därifrån."
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,sv,(Applause),(Applåder),(Applåder)
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,sv,"You have a cardboard box with a mirror in the middle, and then you put the phantom — so my first patient, Derek, came in.","Du har en kartong med en spegel i mitten, och sedan sätter du fantomen så min första patient, Derek, kom in.","Man använder en papplåda med en spegel i mitten. Sen stoppar man fantomen... Så min första patient, Derek, kom in."
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,sv,"Our consciousness of that thing that we're attending to becomes extremely bright and vivid, and everything else sort of goes dark.","Vårt medvetande om den där saken som vi tar hand om blir extremt ljust och levande, och allt annat blir liksom mörkt.","Vårt medvetande om de saker som vi har för handen blir extremt klart och tydligt, men allt annat faller liksom i mörker."
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,sv,"For days after the launch, Sputnik was a wonderful curiosity.",I flera dagar efter lanseringen var Sputnik en underbar nyfikenhet.,"Under dagar efter uppskjutningen, var Sputnik en underbar underlighet."
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,sv,"Click and, bang, you're in this museum.","Klicka och, bang, du är i detta museum.","klicka och, pang, så är ni inne i detta museum."
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,sv,"If you're a woman writer from the Muslim world, like me, then you are expected to write the stories of Muslim women and, preferably, the unhappy stories of unhappy Muslim women.","Om du är en kvinnlig författare från den muslimska världen, som jag, förväntas du skriva berättelser om muslimska kvinnor och helst de olyckliga berättelserna om olyckliga muslimska kvinnor.","Om du är kvinnlig författare från den muslimska världen, som jag, då förväntas du skriva de muslimska kvinnornas historia och, helst, de olyckliga historierna om olyckliga muslimska kvinnor."
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,sv,"And also, they are famous now on the streets, on mass media and social.","Och de är också kända nu på gatorna, på massmedia och sociala medier.","Och nu är de kända på gatorna, i massmedia och socialt."
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,sv,"Here, you've got Martian alphabet.",Här har du det martianska alfabetet.,Här är då marsalfabetet.
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,sv,"So this is a work that we were very intrigued with, working with the aesthetic of fur embedded with thousands of tiny different sizes of fiber optics, which twinkle like the night sky.","Så det här är ett arbete som vi var väldigt fascinerade av, att arbeta med pälsens estetik inbäddad med tusentals små olika storlekar av fiberoptik, som blinkar som natthimlen.","Det här är ett projekt som vi var väldigt fascinerade av där vi arbetade med pälsestetik som genomkorsades av tusentals olika stora optiska fibrer, som gnistrade som stjärnor på natthimlen."
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,sv,"Government is doing what they can, especially in terms of the pandemics and epidemics such as cholera, or Ebola at the moment, but with competing priorities.","Regeringen gör vad de kan, särskilt när det gäller pandemier och epidemier som kolera eller Ebola för närvarande, men med konkurrerande prioriteringar.","Regeringarna gör vad de kan, särskilt vad gäller pandemier och epidemier som kolera och ebola i dagsläget, men tvingas ständigt prioritera."
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,sv,"I ran as an independent candidate, not with any political party or muscle behind me.","Jag kandiderade som en oberoende kandidat, inte med något politiskt parti eller någon muskel bakom mig.","Jag ställde upp som en oberoende kandidat, utan något politiskt parti bakom mig."
Helsinki-NLP/opus-mt-tc-big-en-gmq,TED,sv,You'll actually see that down here you can see a Web address: unionseek.com / d / ioo.exe And when you view this image on your computer it actually is going to download and run that program.,Du ser faktiskt att här nere kan du se en webbadress: unionseek.com / d / ioo.exe Och när du ser den här bilden på din dator kommer den faktiskt att ladda ner och köra det programmet.,Så kommer du att se att här nere finns en webbadress: unionseek.com / d / ioo.exe Så när du tittar på den här bilden på din dator kommer den faktiskt att ladda ner och köra det hör programmet.
